scenario,parameter,value,protocol,metric,mean,ci95,n_runs,censored_fraction
s1_density,nNodes,10,Adaptive-IoUT-VBF,throughput_kbps,1.1355520000000001,0.1917404633801026,20,0.0
s1_density,nNodes,25,Adaptive-IoUT-VBF,throughput_kbps,1.1996160000000002,0.0929761980269569,20,0.0
s1_density,nNodes,50,Adaptive-IoUT-VBF,throughput_kbps,0.9915519999999999,0.11190282971303378,20,0.0
s1_density,nNodes,75,Adaptive-IoUT-VBF,throughput_kbps,0.738624,0.07774063865943974,20,0.0
s1_density,nNodes,100,Adaptive-IoUT-VBF,throughput_kbps,0.597504,0.07268224839589414,20,0.0
s1_density,nNodes,150,Adaptive-IoUT-VBF,throughput_kbps,0.40767999999999993,0.05538981054582102,20,0.0
s1_density,nNodes,200,Adaptive-IoUT-VBF,throughput_kbps,0.310848,0.03911923501018198,20,0.0
s1_density,nNodes,10,Classic-VBF,throughput_kbps,0.11381999999999999,0.019440561921195483,20,0.0
s1_density,nNodes,25,Classic-VBF,throughput_kbps,0.23956400000000003,0.021454500089103445,20,0.0
s1_density,nNodes,50,Classic-VBF,throughput_kbps,0.409752,0.02886787895675394,20,0.0
s1_density,nNodes,75,Classic-VBF,throughput_kbps,0.47370799999999996,0.03213225349110174,20,0.0
s1_density,nNodes,100,Classic-VBF,throughput_kbps,0.5604279999999999,0.03856980399999999,20,0.0
s1_density,nNodes,150,Classic-VBF,throughput_kbps,0.6070399999999999,0.050249259511342195,20,0.0
s1_density,nNodes,200,Classic-VBF,throughput_kbps,0.6775,0.0297870409337169,20,0.0
s1_density,nNodes,10,HHVBF,throughput_kbps,0.11382,0.019440561921195483,20,0.0
s1_density,nNodes,25,HHVBF,throughput_kbps,0.242816,0.019641592867759843,20,0.0
s1_density,nNodes,50,HHVBF,throughput_kbps,0.42384400000000005,0.02338782682983375,20,0.0
s1_density,nNodes,75,HHVBF,throughput_kbps,0.5051439999999999,0.04204154679607721,20,0.0
s1_density,nNodes,100,HHVBF,throughput_kbps,0.559344,0.03762039006511806,20,0.0
s1_density,nNodes,150,HHVBF,throughput_kbps,0.622216,0.043185916517706556,20,0.0
s1_density,nNodes,200,HHVBF,throughput_kbps,0.6449799999999998,0.030859179507865084,20,0.0
s1_density,nNodes,10,DBR,throughput_kbps,0.00799,0.0013042580298662247,20,0.0
s1_density,nNodes,25,DBR,throughput_kbps,0.012784,0.0021852397163218307,20,0.0
s1_density,nNodes,50,DBR,throughput_kbps,0.017108000000000005,0.0023173572151631325,20,0.0
s1_density,nNodes,75,DBR,throughput_kbps,0.018518,0.0023239412530980073,20,0.0
s1_density,nNodes,100,DBR,throughput_kbps,0.021338000000000003,0.00278637622524314,20,0.0
s1_density,nNodes,150,DBR,throughput_kbps,0.020022,0.0017660698516537246,20,0.0
s1_density,nNodes,200,DBR,throughput_kbps,0.017484000000000006,0.0025707550892134067,20,0.0
s1_density,nNodes,10,Adaptive-IoUT-VBF,pdr_pct,36.88639105,5.966965965291854,20,0.0
s1_density,nNodes,25,Adaptive-IoUT-VBF,pdr_pct,44.514325150000005,3.160006437224432,20,0.0
s1_density,nNodes,50,Adaptive-IoUT-VBF,pdr_pct,47.367093749999995,3.4992089638736297,20,0.0
s1_density,nNodes,75,Adaptive-IoUT-VBF,pdr_pct,49.9035874,3.0047042462119657,20,0.0
s1_density,nNodes,100,Adaptive-IoUT-VBF,pdr_pct,54.46348379999999,3.1025619893895446,20,0.0
s1_density,nNodes,150,Adaptive-IoUT-VBF,pdr_pct,65.99245375000001,3.558954538711425,20,0.0
s1_density,nNodes,200,Adaptive-IoUT-VBF,pdr_pct,81.10607315,5.780371059140744,20,0.0
s1_density,nNodes,10,Classic-VBF,pdr_pct,3.1938649000000003,0.546728639945003,20,0.0
s1_density,nNodes,25,Classic-VBF,pdr_pct,6.7197672000000015,0.6036238770242666,20,0.0
s1_density,nNodes,50,Classic-VBF,pdr_pct,11.4912488,0.8037222230556359,20,0.0
s1_density,nNodes,75,Classic-VBF,pdr_pct,13.286548000000002,0.9008402987018529,20,0.0
s1_density,nNodes,100,Classic-VBF,pdr_pct,15.72097785,1.086070553012407,20,0.0
s1_density,nNodes,150,Classic-VBF,pdr_pct,17.026987300000002,1.4103778800993045,20,0.0
s1_density,nNodes,200,Classic-VBF,pdr_pct,19.00446525,0.8422827264160527,20,0.0
