scenario,parameter,value,protocol,metric,mean,ci95,n_runs,censored_fraction
s2_speed,maxSpeed,1.0,Adaptive-IoUT-VBF,throughput_kbps,1.0203520000000001,0.08998843643687748,20,0.0
s2_speed,maxSpeed,2.0,Adaptive-IoUT-VBF,throughput_kbps,1.008896,0.11670199532620215,20,0.0
s2_speed,maxSpeed,3.0,Adaptive-IoUT-VBF,throughput_kbps,0.9915520000000001,0.11190282971303381,20,0.0
s2_speed,maxSpeed,5.0,Adaptive-IoUT-VBF,throughput_kbps,0.9973759999999997,0.11439789735091378,20,0.0
s2_speed,maxSpeed,7.0,Adaptive-IoUT-VBF,throughput_kbps,0.9123199999999999,0.11068629900312266,20,0.0
s2_speed,maxSpeed,10.0,Adaptive-IoUT-VBF,throughput_kbps,0.8690559999999999,0.08304875605329586,20,0.0
s2_speed,maxSpeed,1.0,Classic-VBF,throughput_kbps,0.279672,0.029240864434880078,20,0.0
s2_speed,maxSpeed,2.0,Classic-VBF,throughput_kbps,0.369644,0.026839899092958502,20,0.0
s2_speed,maxSpeed,3.0,Classic-VBF,throughput_kbps,0.409752,0.028867878956753946,20,0.0
s2_speed,maxSpeed,5.0,Classic-VBF,throughput_kbps,0.4607,0.02052517680036671,20,0.0
s2_speed,maxSpeed,7.0,Classic-VBF,throughput_kbps,0.457448,0.023486083300067392,20,0.0
s2_speed,maxSpeed,10.0,Classic-VBF,throughput_kbps,0.467204,0.03380854438372544,20,0.0
s2_speed,maxSpeed,1.0,HHVBF,throughput_kbps,0.304604,0.03025629918306824,20,0.0
s2_speed,maxSpeed,2.0,HHVBF,throughput_kbps,0.37398000000000003,0.029420980441679512,20,0.0
s2_speed,maxSpeed,3.0,HHVBF,throughput_kbps,0.42384400000000005,0.02338782682983375,20,0.0
s2_speed,maxSpeed,5.0,HHVBF,throughput_kbps,0.47912799999999994,0.029240864434880085,20,0.0
s2_speed,maxSpeed,7.0,HHVBF,throughput_kbps,0.4682880000000001,0.0268247538463319,20,0.0
s2_speed,maxSpeed,10.0,HHVBF,throughput_kbps,0.48021199999999997,0.02263432119421104,20,0.0
s2_speed,maxSpeed,1.0,DBR,throughput_kbps,0.012972000000000001,0.002263995711394301,20,0.0
s2_speed,maxSpeed,2.0,DBR,throughput_kbps,0.015040000000000003,0.0026006944047643563,20,0.0
s2_speed,maxSpeed,3.0,DBR,throughput_kbps,0.017108000000000005,0.0023173572151631325,20,0.0
s2_speed,maxSpeed,5.0,DBR,throughput_kbps,0.017859999999999997,0.0016273911788859462,20,0.0
s2_speed,maxSpeed,7.0,DBR,throughput_kbps,0.017578000000000003,0.002197789319092734,20,0.0
s2_speed,maxSpeed,10.0,DBR,throughput_kbps,0.01786,0.0014969821575493317,20,0.0
s2_speed,maxSpeed,1.0,Adaptive-IoUT-VBF,pdr_pct,42.36321579999999,2.498653684798211,20,0.0
s2_speed,maxSpeed,2.0,Adaptive-IoUT-VBF,pdr_pct,45.58440909999999,3.8195354206014858,20,0.0
s2_speed,maxSpeed,3.0,Adaptive-IoUT-VBF,pdr_pct,47.367093749999995,3.4992089638736297,20,0.0
s2_speed,maxSpeed,5.0,Adaptive-IoUT-VBF,pdr_pct,50.13525159999999,3.380341257679486,20,0.0
s2_speed,maxSpeed,7.0,Adaptive-IoUT-VBF,pdr_pct,49.39665095,3.345283237530857,20,0.0
s2_speed,maxSpeed,10.0,Adaptive-IoUT-VBF,pdr_pct,49.8337221,2.382581121915951,20,0.0
s2_speed,maxSpeed,1.0,Classic-VBF,pdr_pct,7.84506025,0.8204597333774158,20,0.0
