scenario,parameter,value,protocol,metric,mean,ci95,n_runs,censored_fraction
s3_area,fieldSize,200.0,Adaptive-IoUT-VBF,throughput_kbps,1.2725120000000003,0.05727571165396387,20,0.0
s3_area,fieldSize,300.0,Adaptive-IoUT-VBF,throughput_kbps,0.9782399999999999,0.07996665145215874,20,0.0
s3_area,fieldSize,400.0,Adaptive-IoUT-VBF,throughput_kbps,1.002816,0.0707483037205707,20,0.0
s3_area,fieldSize,500.0,Adaptive-IoUT-VBF,throughput_kbps,0.9915520000000001,0.11190282971303378,20,0.0
s3_area,fieldSize,600.0,Adaptive-IoUT-VBF,throughput_kbps,1.011328,0.1331967646074942,20,0.0
s3_area,fieldSize,800.0,Adaptive-IoUT-VBF,throughput_kbps,0.8158080000000002,0.15468835946826442,20,0.0
s3_area,fieldSize,1000.0,Adaptive-IoUT-VBF,throughput_kbps,0.5378559999999999,0.1502259775238749,20,0.0
s3_area,fieldSize,200.0,Classic-VBF,throughput_kbps,0.31652800000000003,0.02877387714755326,20,0.0
s3_area,fieldSize,300.0,Classic-VBF,throughput_kbps,0.38048400000000004,0.0352214338409711,20,0.0
s3_area,fieldSize,400.0,Classic-VBF,throughput_kbps,0.43468399999999996,0.026839899092958502,20,0.0
s3_area,fieldSize,500.0,Classic-VBF,throughput_kbps,0.409752,0.02886787895675394,20,0.0
s3_area,fieldSize,600.0,Classic-VBF,throughput_kbps,0.318696,0.025520486064904774,20,0.0
s3_area,fieldSize,800.0,Classic-VBF,throughput_kbps,0.15501199999999998,0.02639202709416677,20,0.0
s3_area,fieldSize,1000.0,Classic-VBF,throughput_kbps,0.06937600000000001,0.020715685005746495,20,0.0
s3_area,fieldSize,200.0,HHVBF,throughput_kbps,0.31652800000000003,0.03474515881751227,20,0.0
s3_area,fieldSize,300.0,HHVBF,throughput_kbps,0.399996,0.03283285733887046,20,0.0
s3_area,fieldSize,400.0,HHVBF,throughput_kbps,0.442272,0.03395646871600544,20,0.0
s3_area,fieldSize,500.0,HHVBF,throughput_kbps,0.42384400000000005,0.02338782682983375,20,0.0
s3_area,fieldSize,600.0,HHVBF,throughput_kbps,0.33062,0.028294397640486614,20,0.0
s3_area,fieldSize,800.0,HHVBF,throughput_kbps,0.1626,0.02841383421041784,20,0.0
s3_area,fieldSize,1000.0,HHVBF,throughput_kbps,0.078048,0.020663306451620622,20,0.0
s3_area,fieldSize,200.0,DBR,throughput_kbps,0.015698,0.0015706967786204415,20,0.0
s3_area,fieldSize,300.0,DBR,throughput_kbps,0.01739,0.0016858051850483168,20,0.0
s3_area,fieldSize,400.0,DBR,throughput_kbps,0.019364,0.002138118187388842,20,0.0
s3_area,fieldSize,500.0,DBR,throughput_kbps,0.017108000000000005,0.0023173572151631325,20,0.0
