scenario,parameter,value,protocol,metric,mean,ci95,n_runs,censored_fraction
s4_radius,basePipeR,50.0,Adaptive-IoUT-VBF,throughput_kbps,0.876544,0.0993457587561391,20,0.0
s4_radius,basePipeR,75.0,Adaptive-IoUT-VBF,throughput_kbps,0.8949119999999999,0.11960934597952608,20,0.0
s4_radius,basePipeR,100.0,Adaptive-IoUT-VBF,throughput_kbps,0.9080960000000001,0.11441471605212578,20,0.0
s4_radius,basePipeR,125.0,Adaptive-IoUT-VBF,throughput_kbps,0.9485439999999998,0.11869951364638036,20,0.0
s4_radius,basePipeR,150.0,Adaptive-IoUT-VBF,throughput_kbps,0.9915520000000001,0.11190282971303378,20,0.0
s4_radius,basePipeR,200.0,Adaptive-IoUT-VBF,throughput_kbps,1.019008,0.11380168979383515,20,0.0
s4_radius,basePipeR,250.0,Adaptive-IoUT-VBF,throughput_kbps,1.07232,0.10336408031763877,20,0.0
s4_radius,basePipeR,50.0,Classic-VBF,throughput_kbps,0.27858799999999995,0.033776475565141635,20,0.0
s4_radius,basePipeR,75.0,Classic-VBF,throughput_kbps,0.3176119999999999,0.02263432119421103,20,0.0
s4_radius,basePipeR,100.0,Classic-VBF,throughput_kbps,0.35555200000000003,0.03164373153723168,20,0.0
s4_radius,basePipeR,125.0,Classic-VBF,throughput_kbps,0.36856000000000005,0.0308811199155482,20,0.0
s4_radius,basePipeR,150.0,Classic-VBF,throughput_kbps,0.409752,0.02886787895675394,20,0.0
s4_radius,basePipeR,200.0,Classic-VBF,throughput_kbps,0.423844,0.029895985061845643,20,0.0
s4_radius,basePipeR,250.0,Classic-VBF,throughput_kbps,0.470456,0.02465659696946281,20,0.0
s4_radius,basePipeR,50.0,HHVBF,throughput_kbps,0.279672,0.03240511703163832,20,0.0
s4_radius,basePipeR,75.0,HHVBF,throughput_kbps,0.32953600000000005,0.026865122197005206,20,0.0
s4_radius,basePipeR,100.0,HHVBF,throughput_kbps,0.36422399999999994,0.03268813652773477,20,0.0
