scenario,parameter,value,protocol,metric,mean,ci95,n_runs,censored_fraction
s5_traffic,packetInterval,2.0,Adaptive-IoUT-VBF,throughput_kbps,1.439296,0.16898032574783317,20,0.0
s5_traffic,packetInterval,4.0,Adaptive-IoUT-VBF,throughput_kbps,1.23136,0.1254627113772736,20,0.0
s5_traffic,packetInterval,6.0,Adaptive-IoUT-VBF,throughput_kbps,0.9915519999999999,0.11190282971303378,20,0.0
s5_traffic,packetInterval,8.0,Adaptive-IoUT-VBF,throughput_kbps,0.8475520000000001,0.10082221642617649,20,0.0
s5_traffic,packetInterval,10.0,Adaptive-IoUT-VBF,throughput_kbps,0.66496,0.07599732903091748,20,0.0
s5_traffic,packetInterval,12.0,Adaptive-IoUT-VBF,throughput_kbps,0.5978240000000001,0.06249855329760094,20,0.0
s5_traffic,packetInterval,15.0,Adaptive-IoUT-VBF,throughput_kbps,0.49561599999999995,0.050410557913985694,20,0.0
s5_traffic,packetInterval,2.0,Classic-VBF,throughput_kbps,0.3718119999999999,0.025978171157762336,20,0.0
s5_traffic,packetInterval,4.0,Classic-VBF,throughput_kbps,0.40216399999999997,0.03096435168269815,20,0.0
s5_traffic,packetInterval,6.0,Classic-VBF,throughput_kbps,0.40975199999999995,0.02886787895675394,20,0.0
s5_traffic,packetInterval,8.0,Classic-VBF,throughput_kbps,0.38482,0.02671849674081652,20,0.0
s5_traffic,packetInterval,10.0,Classic-VBF,throughput_kbps,0.365308,0.01955173115862847,20,0.0
s5_traffic,packetInterval,12.0,Classic-VBF,throughput_kbps,0.35772,0.02990051578628809,20,0.0
s5_traffic,packetInterval,15.0,Classic-VBF,throughput_kbps,0.343628,0.020366167225453598,20,0.0
s5_traffic,packetInterval,2.0,HHVBF,throughput_kbps,0.391324,0.03657979128263958,20,0.0
s5_traffic,packetInterval,4.0,HHVBF,throughput_kbps,0.409752,0.031212715338525796,20,0.0
s5_traffic,packetInterval,6.0,HHVBF,throughput_kbps,0.42384400000000005,0.02338782682983375,20,0.0
s5_traffic,packetInterval,8.0,HHVBF,throughput_kbps,0.391324,0.030612372624358494,20,0.0
s5_traffic,packetInterval,10.0,HHVBF,throughput_kbps,0.36530799999999997,0.029859714517630174,20,0.0
s5_traffic,packetInterval,12.0,HHVBF,throughput_kbps,0.37506399999999995,0.026356074136021753,20,0.0
s5_traffic,packetInterval,15.0,HHVBF,throughput_kbps,0.356636,0.01988150954433858,20,0.0
s5_traffic,packetInterval,2.0,DBR,throughput_kbps,0.017108000000000005,0.0023173572151631325,20,0.0
s5_traffic,packetInterval,4.0,DBR,throughput_kbps,0.017108000000000005,0.0023173572151631325,20,0.0
s5_traffic,packetInterval,6.0,DBR,throughput_kbps,0.017108,0.0023173572151631325,20,0.0
s5_traffic,packetInterval,8.0,DBR,throughput_kbps,0.017108000000000005,0.0023173572151631325,20,0.0
s5_traffic,packetInterval,10.0,DBR,throughput_kbps,0.017108000000000005,0.0023173572151631325,20,0.0
s5_traffic,packetInterval,12.0,DBR,throughput_kbps,0.017108000000000005,0.0023173572151631325,20,0.0
s5_traffic,packetInterval,15.0,DBR,throughput_kbps,0.017108000000000005,0.0023173572151631325,20,0.0
s5_traffic,packetInterval,2.0,Adaptive-IoUT-VBF,pdr_pct,20.187850900000004,1.4929806899555855,20,0.0
s5_traffic,packetInterval,4.0,Adaptive-IoUT-VBF,pdr_pct,36.637488250000004,2.6449556852000455,20,0.0
s5_traffic,packetInterval,6.0,Adaptive-IoUT-VBF,pdr_pct,47.367093749999995,3.4992089638736297,20,0.0
s5_traffic,packetInterval,8.0,Adaptive-IoUT-VBF,pdr_pct,57.256687250000006,4.315456762731858,20,0.0
s5_traffic,packetInterval,10.0,Adaptive-IoUT-VBF,pdr_pct,62.1233474,4.462459167405588,20,0.0
s5_traffic,packetInterval,12.0,Adaptive-IoUT-VBF,pdr_pct,70.4808944,5.0064654313449175,20,0.0
s5_traffic,packetInterval,15.0,Adaptive-IoUT-VBF,pdr_pct,81.38213295,6.166182932510736,20,0.0
s5_traffic,packetInterval,2.0,Classic-VBF,pdr_pct,3.5165183499999997,0.24572337005313857,20,0.0
s5_traffic,packetInterval,4.0,Classic-VBF,pdr_pct,7.5710602499999995,0.5818049960156112,20,0.0
s5_traffic,packetInterval,6.0,Classic-VBF,pdr_pct,11.4912488,0.8037222230556359,20,0.0
s5_traffic,packetInterval,8.0,Classic-VBF,pdr_pct,14.286785349999999,0.9921946860964915,20,0.0
s5_traffic,packetInterval,10.0,Classic-VBF,pdr_pct,16.88701865,0.917458268719051,20,0.0
s5_traffic,packetInterval,12.0,Classic-VBF,pdr_pct,19.691337049999998,1.6374185693789312,20,0.0
s5_traffic,packetInterval,15.0,Classic-VBF,pdr_pct,23.77967735,1.3945297774263261,20,0.0
s5_traffic,packetInterval,2.0,HHVBF,pdr_pct,3.7008190999999995,0.345367410279868,20,0.0
s5_traffic,packetInterval,4.0,HHVBF,pdr_pct,7.714426599999999,0.5876525250730449,20,0.0
s5_traffic,packetInterval,6.0,HHVBF,pdr_pct,11.88740775,0.6537705310765103,20,0.0
s5_traffic,packetInterval,8.0,HHVBF,pdr_pct,14.532359199999998,1.1544315037208177,20,0.0
s5_traffic,packetInterval,10.0,HHVBF,pdr_pct,16.88598855,1.3830647137143834,20,0.0
s5_traffic,packetInterval,12.0,HHVBF,pdr_pct,20.653059050000003,1.4704200967435772,20,0.0
s5_traffic,packetInterval,15.0,HHVBF,pdr_pct,24.677866299999998,1.3466175409026833,20,0.0
s5_traffic,packetInterval,2.0,DBR,pdr_pct,1.8657050000000002,0.25233367256678263,20,0.0
s5_traffic,packetInterval,4.0,DBR,pdr_pct,3.7136068,0.5016982026257285,20,0.0
