label,protocol,seed,nNodes,nSources,fieldSize,waterDepth,maxSpeed,basePipeR,commRange,packetInterval,payloadBytes,bitRate,simTime,generated,delivered,duplicates,dropped,transmissions,fallbacks,pdr_pct,throughput_kbps,mean_delay_s,mean_hops,lifetime_s,lifetime_censored,jain_fairness,energy_gap_J,mean_consumed_J
lifetime,adaptive,1,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49988,169,727,63,3173,298,0.338081,0.026163,1.171391,0.295858,281.004549,0,1.000000,0.000000,100.000000
lifetime,adaptive,2,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49985,133,865,97,2933,116,0.266080,0.018022,0.969742,0.210526,290.007260,0,1.000000,0.000000,100.000000
lifetime,adaptive,3,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49993,171,811,72,3224,228,0.342048,0.026189,1.033724,0.210526,307.869255,0,1.000000,0.000000,100.000000
lifetime,adaptive,4,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49989,206,550,103,3061,212,0.412091,0.034125,1.033665,0.194175,274.001799,0,1.000000,0.000000,100.000000
lifetime,adaptive,5,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49992,147,530,64,3384,259,0.294047,0.022618,1.377050,0.469388,266.561241,0,1.000000,0.000000,100.000000
lifetime,adaptive,6,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49996,154,640,38,3307,304,0.308025,0.024051,1.287014,0.383117,265.874023,0,1.000000,0.000000,100.000000
lifetime,adaptive,7,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49985,173,762,114,3064,234,0.346104,0.026790,1.212054,0.323699,314.195503,0,1.000000,0.000000,100.000000
lifetime,adaptive,8,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49992,95,829,84,3247,251,0.190030,0.011392,1.185978,0.421053,279.782110,0,1.000000,0.000000,100.000000
lifetime,adaptive,9,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,50000,196,487,148,3247,308,0.392000,0.033805,1.453723,0.484694,286.967194,0,1.000000,0.000000,100.000000
lifetime,adaptive,10,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49987,161,414,91,3157,148,0.322084,0.025677,1.150287,0.285714,277.549465,0,1.000000,0.000000,100.000000
lifetime,adaptive,11,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,50008,138,749,180,3020,377,0.275956,0.018854,0.890544,0.166667,288.642972,0,1.000000,0.000000,100.000000
lifetime,adaptive,12,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,50007,161,693,179,2983,340,0.321955,0.023757,1.031945,0.242236,302.747060,0,1.000000,0.000000,100.000000
lifetime,adaptive,13,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49973,199,697,71,3269,144,0.398215,0.033267,1.246377,0.366834,292.246534,0,1.000000,0.000000,100.000000
lifetime,adaptive,14,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49987,113,680,69,3253,282,0.226059,0.016422,1.681580,0.699115,265.926880,0,1.000000,0.000000,100.000000
lifetime,adaptive,15,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,50011,183,609,122,3146,355,0.365919,0.028454,0.934829,0.125683,285.506100,0,1.000000,0.000000,100.000000
lifetime,adaptive,16,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49972,143,799,18,3323,193,0.286160,0.021222,1.554661,0.594406,290.443715,0,1.000000,0.000000,100.000000
lifetime,adaptive,17,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,50002,116,846,290,3188,153,0.231991,0.014733,0.924866,0.215517,278.672491,0,1.000000,0.000000,100.000000
lifetime,adaptive,18,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49977,157,789,17,3236,74,0.314145,0.023706,1.121673,0.280255,273.930599,0,1.000000,0.000000,100.000000
lifetime,adaptive,19,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49989,165,923,21,3049,121,0.330073,0.024960,1.170185,0.315152,298.795743,0,1.000000,0.000000,100.000000
lifetime,adaptive,20,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,20000.000000,49995,191,569,88,3094,280,0.382038,0.032973,1.256020,0.319372,292.053669,0,1.000000,0.000000,100.000000
lifetime,adaptive,1,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24992,156,718,54,3069,235,0.624200,0.023693,1.247821,0.384615,345.991673,0,1.000000,0.000000,100.000000
lifetime,adaptive,2,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24991,136,885,64,2722,93,0.544196,0.018637,1.010053,0.250000,334.438535,0,1.000000,0.000000,100.000000
lifetime,adaptive,3,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24990,169,818,35,2973,104,0.676271,0.025971,1.082435,0.248521,337.023083,0,1.000000,0.000000,100.000000
lifetime,adaptive,4,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24985,146,570,46,2849,147,0.584351,0.021645,1.003328,0.232877,345.347586,0,1.000000,0.000000,100.000000
lifetime,adaptive,5,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24995,117,567,50,3178,149,0.468094,0.016474,1.389260,0.521368,321.704149,0,1.000000,0.000000,100.000000
lifetime,adaptive,6,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24996,159,704,63,3134,157,0.636102,0.025075,1.291810,0.377358,330.470203,0,1.000000,0.000000,100.000000
lifetime,adaptive,7,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24987,152,762,61,2823,92,0.608316,0.022682,1.294026,0.421053,339.064320,0,1.000000,0.000000,100.000000
lifetime,adaptive,8,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,25004,123,778,57,3053,182,0.491921,0.016934,1.313346,0.487805,353.336903,0,1.000000,0.000000,100.000000
lifetime,adaptive,9,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24996,137,525,107,3000,172,0.548088,0.021722,1.419248,0.503650,348.152697,0,1.000000,0.000000,100.000000
lifetime,adaptive,10,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24994,171,439,74,2940,89,0.684164,0.027917,1.278020,0.374269,350.409229,0,1.000000,0.000000,100.000000
lifetime,adaptive,11,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,25000,168,730,125,2800,245,0.672000,0.024998,1.131227,0.315476,339.524766,0,1.000000,0.000000,100.000000
lifetime,adaptive,12,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24999,171,707,128,2803,291,0.684027,0.025805,1.255122,0.391813,350.759755,0,1.000000,0.000000,100.000000
lifetime,adaptive,13,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24991,150,653,47,3045,118,0.600216,0.023808,1.348311,0.486667,329.967838,0,1.000000,0.000000,100.000000
lifetime,adaptive,14,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24985,103,655,50,3069,218,0.412247,0.014374,1.803017,0.815534,348.523251,0,1.000000,0.000000,100.000000
lifetime,adaptive,15,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,25009,148,666,53,2934,210,0.591787,0.021286,0.981381,0.202703,342.763802,0,1.000000,0.000000,100.000000
lifetime,adaptive,16,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24985,131,806,28,3106,196,0.524315,0.018765,1.866431,0.877863,357.045467,0,1.000000,0.000000,100.000000
lifetime,adaptive,17,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,25003,107,883,164,3018,92,0.427949,0.012890,0.958387,0.261682,320.793907,0,1.000000,0.000000,100.000000
lifetime,adaptive,18,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24981,148,833,4,3009,37,0.592450,0.021862,1.266783,0.425676,350.539031,0,1.000000,0.000000,100.000000
lifetime,adaptive,19,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,25006,144,923,22,2893,125,0.575862,0.020851,1.330663,0.465278,378.882490,0,1.000000,0.000000,100.000000
lifetime,adaptive,20,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,4.000000,512,10000.000000,20000.000000,24989,141,566,62,2740,97,0.564248,0.022733,1.316448,0.418440,343.301286,0,1.000000,0.000000,100.000000
lifetime,adaptive,1,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,20000.000000,16660,151,778,51,2943,203,0.906363,0.022861,1.192884,0.337748,330.958116,0,1.000000,0.000000,100.000000
lifetime,adaptive,2,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,20000.000000,16655,129,878,66,2514,72,0.774542,0.017203,1.049919,0.271318,350.901278,0,1.000000,0.000000,100.000000
lifetime,adaptive,3,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,20000.000000,16666,156,849,26,2887,100,0.936037,0.023309,1.167794,0.339744,353.530988,0,1.000000,0.000000,100.000000
lifetime,adaptive,4,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,20000.000000,16656,133,551,52,2741,140,0.798511,0.018982,0.933867,0.195489,361.567184,0,1.000000,0.000000,100.000000
lifetime,adaptive,5,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,20000.000000,16657,103,585,58,3067,136,0.618359,0.013798,1.281524,0.485437,347.553273,0,1.000000,0.000000,100.000000
lifetime,adaptive,6,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,20000.000000,16664,140,771,50,3005,141,0.840134,0.021184,1.689531,0.707143,342.817918,0,1.000000,0.000000,100.000000
lifetime,adaptive,7,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,20000.000000,16661,127,818,43,2698,64,0.762259,0.017370,1.203047,0.401575,337.884038,0,1.000000,0.000000,100.000000
lifetime,adaptive,8,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,20000.000000,16668,116,786,42,2926,200,0.695944,0.015501,1.346475,0.543103,374.180763,0,1.000000,0.000000,100.000000
lifetime,adaptive,9,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,20000.000000,16663,151,562,64,2882,140,0.906199,0.024781,1.591672,0.622517,365.503246,0,1.000000,0.000000,100.000000
