label,protocol,seed,nNodes,nSources,fieldSize,waterDepth,maxSpeed,basePipeR,commRange,packetInterval,payloadBytes,bitRate,simTime,generated,delivered,duplicates,dropped,transmissions,fallbacks,pdr_pct,throughput_kbps,mean_delay_s,mean_hops,lifetime_s,lifetime_censored,jain_fairness,energy_gap_J,mean_consumed_J
s1_density,adaptive,3,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,79,63,33,397,11,47.878788,1.483520,1.567892,0.569620,-1.000000,1,0.942554,3.748308,31.660000
s1_density,adaptive,2,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,78,72,46,333,18,47.560976,1.443840,1.096798,0.192308,-1.000000,1,0.941040,3.722593,30.610000
s1_density,adaptive,1,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,70,95,29,354,14,42.682927,1.299200,1.219348,0.257143,-1.000000,1,0.903883,6.330738,31.270000
s1_density,adaptive,4,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,163,51,64,72,335,20,31.288344,0.910080,1.194310,0.274510,-1.000000,1,0.940081,3.802464,30.750000
s1_density,adaptive,6,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,72,79,7,375,2,43.636364,1.359360,1.384075,0.416667,-1.000000,1,0.889461,7.380265,31.430000
s1_density,adaptive,5,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,52,41,65,382,80,31.515152,0.949760,1.284339,0.307692,-1.000000,1,0.921156,5.155101,31.350000
s1_density,adaptive,7,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,1,16,122,324,62,0.606061,0.001280,0.215064,0.000000,-1.000000,1,0.905670,5.206271,26.230000
s1_density,adaptive,8,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,48,53,76,348,46,29.268293,0.848640,1.299383,0.354167,-1.000000,1,0.948009,3.036180,28.420000
s1_density,adaptive,9,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,163,35,38,40,342,65,21.472393,0.659200,1.137734,0.171429,-1.000000,1,0.851283,8.822748,27.280000
s1_density,adaptive,10,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,67,54,97,334,9,40.606061,1.237760,1.232572,0.268657,-1.000000,1,0.909787,4.899014,25.870000
s1_density,adaptive,11,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,44,69,92,342,31,26.666667,0.766720,1.639592,0.590909,-1.000000,1,0.943559,3.513302,30.220000
s1_density,adaptive,12,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,64,70,63,391,66,38.787879,1.176320,1.378770,0.390625,-1.000000,1,0.944672,3.649258,32.040000
s1_density,adaptive,13,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,46,79,58,362,36,27.878788,0.826880,1.620903,0.565217,-1.000000,1,0.923196,4.671918,29.200000
s1_density,adaptive,14,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,64,50,43,397,51,38.787879,1.253120,1.237080,0.281250,-1.000000,1,0.912622,5.246426,28.650000
s1_density,adaptive,15,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,77,70,38,372,36,46.951220,1.423360,1.247511,0.311688,-1.000000,1,0.866899,8.283862,28.900000
s1_density,adaptive,16,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,83,79,24,423,37,50.303030,1.623040,1.726426,0.602410,-1.000000,1,0.922298,5.320083,32.850000
s1_density,adaptive,17,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,163,89,55,10,352,19,54.601227,1.688320,1.355048,0.359551,-1.000000,1,0.894378,6.937474,31.010000
s1_density,adaptive,18,10,5,500.000000,500.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,79,72,0,383,6,47.878788,1.541120,1.458818,0.405063,-1.000000,1,0.929502,4.621494,31.580000
