label,protocol,seed,nNodes,nSources,fieldSize,waterDepth,maxSpeed,basePipeR,commRange,packetInterval,payloadBytes,bitRate,simTime,generated,delivered,duplicates,dropped,transmissions,fallbacks,pdr_pct,throughput_kbps,mean_delay_s,mean_hops,lifetime_s,lifetime_censored,jain_fairness,energy_gap_J,mean_consumed_J
s3_area,adaptive,3,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,112,382,30,970,6,67.878788,1.352960,0.793039,0.205357,-1.000000,1,0.993714,0.753282,59.730000
s3_area,adaptive,1,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,103,445,36,932,18,62.804878,1.187840,0.853885,0.242718,-1.000000,1,0.994573,0.697634,64.100000
s3_area,adaptive,2,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,106,403,39,898,19,64.634146,1.268480,0.850261,0.226415,-1.000000,1,0.994031,0.708774,59.198000
s3_area,adaptive,6,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,100,381,18,964,9,60.606061,1.164800,0.752809,0.160000,-1.000000,1,0.996504,0.420731,60.072000
s3_area,adaptive,4,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,163,101,408,4,959,2,61.963190,1.146880,0.721229,0.148515,-1.000000,1,0.995679,0.533396,61.594000
s3_area,adaptive,5,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,109,420,31,964,28,66.060606,1.310720,0.691271,0.091743,-1.000000,1,0.995590,0.538215,60.884000
s3_area,adaptive,8,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,104,329,28,908,20,63.414634,1.227520,0.950328,0.307692,-1.000000,1,0.991391,0.934030,54.012000
s3_area,adaptive,7,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,108,350,11,899,9,65.454545,1.328640,0.908737,0.277778,-1.000000,1,0.993953,0.674765,55.628000
s3_area,adaptive,9,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,163,110,351,32,903,13,67.484663,1.312000,0.795863,0.200000,-1.000000,1,0.994293,0.658048,57.486000
s3_area,adaptive,10,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,100,354,14,915,17,60.606061,1.126400,0.775604,0.170000,-1.000000,1,0.995355,0.524681,56.350000
s3_area,adaptive,11,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,105,338,32,914,27,63.636364,1.228800,0.713677,0.142857,-1.000000,1,0.993654,0.717659,56.360000
s3_area,adaptive,12,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,111,395,38,940,40,67.272727,1.370880,0.795896,0.171171,-1.000000,1,0.994640,0.629650,58.580000
s3_area,adaptive,13,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,103,407,2,908,10,62.424242,1.226240,0.697872,0.116505,-1.000000,1,0.995279,0.571652,60.396000
s3_area,adaptive,14,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,117,341,9,894,10,70.909091,1.474560,0.919923,0.247863,-1.000000,1,0.993928,0.697223,57.236000
s3_area,adaptive,15,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,115,349,38,925,15,70.121951,1.433600,0.770402,0.156522,-1.000000,1,0.993558,0.715836,55.382000
s3_area,adaptive,16,50,5,200.000000,200.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,117,352,9,948,28,70.909091,1.474560,0.845198,0.196581,-1.000000,1,0.994373,0.624626,55.350000
