label,protocol,seed,nNodes,nSources,fieldSize,waterDepth,maxSpeed,basePipeR,commRange,packetInterval,payloadBytes,bitRate,simTime,generated,delivered,duplicates,dropped,transmissions,fallbacks,pdr_pct,throughput_kbps,mean_delay_s,mean_hops,lifetime_s,lifetime_censored,jain_fairness,energy_gap_J,mean_consumed_J
s5_traffic,adaptive,1,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,487,118,103,29,1074,131,24.229979,1.821440,1.067732,0.211864,-1.000000,1,0.907450,6.337674,32.578000
s5_traffic,adaptive,2,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,487,79,98,46,1137,54,16.221766,0.830720,0.912498,0.253165,-1.000000,1,0.896210,7.380341,33.608000
s5_traffic,adaptive,3,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,487,102,128,30,1203,70,20.944559,1.589760,1.113692,0.274510,-1.000000,1,0.892696,7.456252,32.774000
s5_traffic,adaptive,4,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,487,125,122,60,1098,81,25.667351,1.945600,0.983380,0.200000,-1.000000,1,0.898415,7.248506,33.768000
s5_traffic,adaptive,5,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,488,99,135,39,1202,152,20.286885,1.509120,1.525116,0.565657,-1.000000,1,0.877151,8.716811,33.156000
s5_traffic,adaptive,6,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,490,88,91,17,1220,120,17.959184,1.322240,1.159982,0.306818,-1.000000,1,0.896790,7.380241,33.808000
s5_traffic,adaptive,7,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,487,93,89,38,1090,115,19.096509,1.424640,1.464017,0.505376,-1.000000,1,0.907260,6.372463,32.686000
s5_traffic,adaptive,8,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,487,77,140,51,1252,161,15.811088,0.885760,1.158175,0.415584,-1.000000,1,0.896135,7.571027,34.450000
s5_traffic,adaptive,9,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,488,109,101,98,1248,117,22.336066,1.790720,1.478768,0.541284,-1.000000,1,0.910674,6.136288,32.742000
s5_traffic,adaptive,10,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,488,111,110,59,1299,84,22.745902,1.697280,1.145086,0.306306,-1.000000,1,0.909353,6.532527,34.322000
s5_traffic,adaptive,11,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,489,88,81,114,1130,231,17.995910,1.168640,0.867317,0.159091,-1.000000,1,0.900117,6.987997,33.142000
s5_traffic,adaptive,12,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,488,109,140,64,1150,202,22.336066,1.406720,0.911530,0.201835,-1.000000,1,0.928549,5.263180,35.466000
s5_traffic,adaptive,13,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,487,122,120,40,1243,36,25.051335,2.037760,1.280792,0.393443,-1.000000,1,0.919078,5.999106,35.504000
s5_traffic,adaptive,14,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,487,73,154,39,1253,120,14.989733,0.995840,1.525156,0.602740,-1.000000,1,0.888374,8.169948,34.432000
s5_traffic,adaptive,15,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,488,100,101,83,1181,147,20.491803,1.395200,0.899591,0.140000,-1.000000,1,0.909530,6.414240,33.770000
s5_traffic,adaptive,16,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,489,83,174,3,1265,96,16.973415,1.123840,1.466600,0.578313,-1.000000,1,0.894661,7.512449,33.676000
s5_traffic,adaptive,17,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,488,84,114,112,1261,120,17.213115,1.009920,0.961446,0.261905,-1.000000,1,0.906578,6.966829,35.460000
s5_traffic,adaptive,18,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,488,103,145,9,1235,40,21.106557,1.571840,1.275298,0.388350,-1.000000,1,0.892876,7.695039,33.884000
s5_traffic,adaptive,19,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,487,91,179,12,1150,40,18.685832,1.345280,1.281492,0.417582,-1.000000,1,0.933523,4.803401,34.886000
s5_traffic,adaptive,20,50,5,500.000000,500.000000,3.000000,150.000000,250.000000,2.000000,512,10000.000000,200.000000,487,115,103,62,1139,128,23.613963,1.913600,1.133268,0.260870,-1.000000,1,0.904509,6.509627,32.376000
