label,protocol,seed,nNodes,nSources,fieldSize,waterDepth,maxSpeed,basePipeR,commRange,packetInterval,payloadBytes,bitRate,simTime,generated,delivered,duplicates,dropped,transmissions,fallbacks,pdr_pct,throughput_kbps,mean_delay_s,mean_hops,lifetime_s,lifetime_censored,jain_fairness,energy_gap_J,mean_consumed_J
s6_depth,adaptive,1,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,96,329,28,985,8,58.536585,1.082880,0.911535,0.270833,-1.000000,1,0.981250,1.778161,46.970000
s6_depth,adaptive,2,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,83,347,2,963,4,50.609756,0.778240,0.753957,0.204819,-1.000000,1,0.987397,1.224355,48.264000
s6_depth,adaptive,3,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,90,246,16,962,9,54.545455,1.036800,0.861163,0.244444,-1.000000,1,0.979260,1.850976,44.156000
s6_depth,adaptive,4,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,163,94,288,26,961,10,57.668712,1.061120,0.867688,0.234043,-1.000000,1,0.987728,1.176704,47.646000
s6_depth,adaptive,5,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,87,320,11,962,8,52.727273,0.956160,0.904338,0.275862,-1.000000,1,0.980394,1.804308,45.558000
s6_depth,adaptive,6,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,86,333,23,979,3,52.121212,0.935680,0.810434,0.186047,-1.000000,1,0.979930,1.833807,45.222000
s6_depth,adaptive,7,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,97,333,19,937,8,58.787879,1.084160,0.932386,0.309278,-1.000000,1,0.982773,1.634571,47.030000
s6_depth,adaptive,8,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,85,269,27,989,14,51.829268,0.857600,1.053639,0.411765,-1.000000,1,0.982884,1.538853,44.566000
s6_depth,adaptive,9,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,163,92,288,23,971,9,56.441718,1.096960,0.844631,0.206522,-1.000000,1,0.981935,1.627655,44.640000
s6_depth,adaptive,10,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,101,247,1,979,0,61.212121,1.281280,0.987718,0.287129,-1.000000,1,0.988545,1.053067,45.700000
s6_depth,adaptive,12,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,83,298,38,958,9,50.303030,0.893440,0.858861,0.228916,-1.000000,1,0.986694,1.284285,47.936000
s6_depth,adaptive,11,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,100,279,27,946,44,60.606061,1.184000,0.859139,0.210000,-1.000000,1,0.985436,1.365051,46.520000
s6_depth,adaptive,13,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,103,280,28,964,21,62.424242,1.264640,0.920076,0.242718,-1.000000,1,0.984085,1.527603,47.608000
s6_depth,adaptive,14,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,72,337,12,1043,3,43.636364,0.668160,0.891002,0.319444,-1.000000,1,0.984795,1.376043,44.904000
s6_depth,adaptive,15,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,89,243,18,977,8,54.268293,0.997120,0.919301,0.269663,-1.000000,1,0.986752,1.147147,43.008000
s6_depth,adaptive,16,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,89,342,14,985,15,53.939394,0.939520,0.820314,0.213483,-1.000000,1,0.986189,1.290444,46.394000
s6_depth,adaptive,17,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,163,76,351,21,966,7,46.625767,0.654080,0.796694,0.250000,-1.000000,1,0.975688,2.264830,46.006000
s6_depth,adaptive,18,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,77,351,3,990,6,46.666667,0.674560,0.671262,0.155844,-1.000000,1,0.984758,1.427595,46.470000
s6_depth,adaptive,19,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,72,395,1,955,2,43.636364,0.552960,0.588184,0.125000,-1.000000,1,0.981695,1.846631,49.976000
s6_depth,vbf,1,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,22,58,0,455,0,13.414634,0.476960,3.346316,1.000000,-1.000000,1,0.873885,3.548042,13.120000
s6_depth,adaptive,20,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,94,348,30,976,4,57.317073,1.041920,0.789056,0.180851,-1.000000,1,0.978468,2.048264,47.046000
s6_depth,vbf,2,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,164,28,59,0,443,0,17.073171,0.607040,3.846157,1.000000,-1.000000,1,0.933817,1.824224,13.310000
s6_depth,vbf,3,50,5,500.000000,100.000000,3.000000,150.000000,250.000000,6.000000,512,10000.000000,200.000000,165,27,65,0,435,0,16.363636,0.585360,3.152081,1.000000,-1.000000,1,0.878535,3.279792,12.628000
