scenario,parameter,value,protocol,metric,mean,ci95,n_runs,censored_fraction
s1_density,nNodes,10,Adaptive-IoUT-VBF,throughput_kbps,0.08876799999999999,0.05267720945129208,20,0.0
s1_density,nNodes,25,Adaptive-IoUT-VBF,throughput_kbps,0.32582400000000006,0.14958426181747322,20,0.0
s1_density,nNodes,50,Adaptive-IoUT-VBF,throughput_kbps,0.595136,0.15767650198126754,20,0.0
s1_density,nNodes,75,Adaptive-IoUT-VBF,throughput_kbps,0.7516800000000001,0.1428478168641384,20,0.0
s1_density,nNodes,100,Adaptive-IoUT-VBF,throughput_kbps,0.9694079999999999,0.10120813694015,20,0.0
s1_density,nNodes,150,Adaptive-IoUT-VBF,throughput_kbps,1.069696,0.1619955011261762,20,0.0
s1_density,nNodes,200,Adaptive-IoUT-VBF,throughput_kbps,0.9735040000000001,0.10485995837714941,20,0.0
s1_density,nNodes,10,Classic-VBF,throughput_kbps,0.021679999999999998,0.009875815331787574,20,0.0
s1_density,nNodes,25,Classic-VBF,throughput_kbps,0.07588,0.0270460341548771,20,0.0
s1_density,nNodes,50,Classic-VBF,throughput_kbps,0.155012,0.030753647664422974,20,0.0
s1_density,nNodes,75,Classic-VBF,throughput_kbps,0.21788400000000002,0.03131237443195659,20,0.0
s1_density,nNodes,100,Classic-VBF,throughput_kbps,0.3252,0.04228571494691944,20,0.0
s1_density,nNodes,150,Classic-VBF,throughput_kbps,0.423844,0.06232770595134179,20,0.0
s1_density,nNodes,200,Classic-VBF,throughput_kbps,0.515984,0.06328746307446334,20,0.0
s1_density,nNodes,10,HHVBF,throughput_kbps,0.021679999999999998,0.009875815331787574,20,0.0
s1_density,nNodes,25,HHVBF,throughput_kbps,0.076964,0.028025012678532513,20,0.0
s1_density,nNodes,50,HHVBF,throughput_kbps,0.165852,0.028750328672254518,20,0.0
s1_density,nNodes,75,HHVBF,throughput_kbps,0.24823599999999998,0.03250112003604463,20,0.0
s1_density,nNodes,100,HHVBF,throughput_kbps,0.34146,0.04353269654430436,20,0.0
s1_density,nNodes,150,HHVBF,throughput_kbps,0.483464,0.06952929364214705,20,0.0
s1_density,nNodes,200,HHVBF,throughput_kbps,0.589696,0.07026573014067947,20,0.0
s1_density,nNodes,10,DBR,throughput_kbps,0.001504,0.0006122505627332308,20,0.0
s1_density,nNodes,25,DBR,throughput_kbps,0.0037600000000000008,0.0013690338775340035,20,0.0
s1_density,nNodes,50,DBR,throughput_kbps,0.004982000000000002,0.0018994574182734118,20,0.0
s1_density,nNodes,75,DBR,throughput_kbps,0.004606000000000001,0.001412250142934578,20,0.0
s1_density,nNodes,100,DBR,throughput_kbps,0.006204000000000002,0.0014301682680214868,20,0.0
s1_density,nNodes,150,DBR,throughput_kbps,0.00893,0.0008504219438861852,20,0.0
s1_density,nNodes,200,DBR,throughput_kbps,0.010622,0.0013166946213902847,20,0.0
s1_density,nNodes,10,Adaptive-IoUT-VBF,pdr_pct,3.4050599,1.718413400685536,20,0.0
s1_density,nNodes,25,Adaptive-IoUT-VBF,pdr_pct,12.487352500000002,4.757161524658431,20,0.0
s1_density,nNodes,50,Adaptive-IoUT-VBF,pdr_pct,23.2394248,5.1967923658552975,20,0.0
s1_density,nNodes,75,Adaptive-IoUT-VBF,pdr_pct,30.557034150000003,4.44340284109597,20,0.0
s1_density,nNodes,100,Adaptive-IoUT-VBF,pdr_pct,40.04846774999999,3.916817993808446,20,0.0
s1_density,nNodes,150,Adaptive-IoUT-VBF,pdr_pct,48.01478095,5.46448444406538,20,0.0
s1_density,nNodes,200,Adaptive-IoUT-VBF,pdr_pct,50.661913549999994,4.920025548552535,20,0.0
