scenario,parameter,value,protocol,metric,mean,ci95,n_runs,censored_fraction
s3_area,fieldSize,200.0,Adaptive-IoUT-VBF,throughput_kbps,1.2395520000000002,0.09445046413027255,20,0.0
s3_area,fieldSize,300.0,Adaptive-IoUT-VBF,throughput_kbps,1.247232,0.11609215995430383,20,0.0
s3_area,fieldSize,400.0,Adaptive-IoUT-VBF,throughput_kbps,1.0229760000000003,0.13164401928874755,20,0.0
s3_area,fieldSize,500.0,Adaptive-IoUT-VBF,throughput_kbps,0.5951359999999999,0.15767650198126754,20,0.0
s3_area,fieldSize,600.0,Adaptive-IoUT-VBF,throughput_kbps,0.301184,0.1447205171408663,20,0.0
s3_area,fieldSize,800.0,Adaptive-IoUT-VBF,throughput_kbps,0.07859200000000001,0.06938917750624055,20,0.0
s3_area,fieldSize,1000.0,Adaptive-IoUT-VBF,throughput_kbps,0.028032,0.02898274521711941,20,0.0
s3_area,fieldSize,200.0,Classic-VBF,throughput_kbps,0.609208,0.030510427134495626,20,0.0
s3_area,fieldSize,300.0,Classic-VBF,throughput_kbps,0.467204,0.036431363844397255,20,0.0
s3_area,fieldSize,400.0,Classic-VBF,throughput_kbps,0.278588,0.03488134619869109,20,0.0
s3_area,fieldSize,500.0,Classic-VBF,throughput_kbps,0.155012,0.030753647664422974,20,0.0
s3_area,fieldSize,600.0,Classic-VBF,throughput_kbps,0.06937600000000001,0.02432472992731049,20,0.0
s3_area,fieldSize,800.0,Classic-VBF,throughput_kbps,0.015175999999999999,0.012361217898432465,20,0.0
s3_area,fieldSize,1000.0,Classic-VBF,throughput_kbps,0.00542,0.005581753202715924,20,0.0
s3_area,fieldSize,200.0,HHVBF,throughput_kbps,0.6384759999999999,0.03148494324729947,20,0.0
s3_area,fieldSize,300.0,HHVBF,throughput_kbps,0.49863999999999997,0.04860488864979457,20,0.0
s3_area,fieldSize,400.0,HHVBF,throughput_kbps,0.29810000000000003,0.03823115639990152,20,0.0
s3_area,fieldSize,500.0,HHVBF,throughput_kbps,0.165852,0.028750328672254518,20,0.0
s3_area,fieldSize,600.0,HHVBF,throughput_kbps,0.07913200000000001,0.023108141711525584,20,0.0
s3_area,fieldSize,800.0,HHVBF,throughput_kbps,0.016259999999999997,0.01226219453119375,20,0.0
s3_area,fieldSize,1000.0,HHVBF,throughput_kbps,0.00542,0.005581753202715924,20,0.0
s3_area,fieldSize,200.0,DBR,throughput_kbps,0.018800000000000004,0.002265794675294671,20,0.0
s3_area,fieldSize,300.0,DBR,throughput_kbps,0.014758000000000002,0.0023587457547367477,20,0.0
s3_area,fieldSize,400.0,DBR,throughput_kbps,0.009024,0.001553088245091322,20,0.0
s3_area,fieldSize,500.0,DBR,throughput_kbps,0.004982000000000001,0.0018994574182734114,20,0.0
s3_area,fieldSize,600.0,DBR,throughput_kbps,0.00282,0.0014969821575493319,20,0.0
s3_area,fieldSize,800.0,DBR,throughput_kbps,0.0008460000000000001,0.0007804693916462268,20,0.0
s3_area,fieldSize,1000.0,DBR,throughput_kbps,0.00047000000000000004,0.0008010793898386168,20,0.0
s3_area,fieldSize,200.0,Adaptive-IoUT-VBF,pdr_pct,61.66347555,2.500334703536884,20,0.0
s3_area,fieldSize,300.0,Adaptive-IoUT-VBF,pdr_pct,52.997475550000004,3.5009380367426997,20,0.0
s3_area,fieldSize,400.0,Adaptive-IoUT-VBF,pdr_pct,39.501247,4.598552322563572,20,0.0
s3_area,fieldSize,500.0,Adaptive-IoUT-VBF,pdr_pct,23.239424800000002,5.196792365855297,20,0.0
s3_area,fieldSize,600.0,Adaptive-IoUT-VBF,pdr_pct,12.2082987,4.709423938165068,20,0.0
s3_area,fieldSize,800.0,Adaptive-IoUT-VBF,pdr_pct,3.5999053000000005,2.3779218080464046,20,0.0
s3_area,fieldSize,1000.0,Adaptive-IoUT-VBF,pdr_pct,1.4647557,1.0417904701378622,20,0.0
s3_area,fieldSize,200.0,Classic-VBF,pdr_pct,17.086475850000003,0.8547165004908003,20,0.0
s3_area,fieldSize,300.0,Classic-VBF,pdr_pct,13.103422649999999,1.0180334986863782,20,0.0
s3_area,fieldSize,400.0,Classic-VBF,pdr_pct,7.8132790499999984,0.9784041545231879,20,0.0
s3_area,fieldSize,500.0,Classic-VBF,pdr_pct,4.347052,0.8617718138888373,20,0.0
s3_area,fieldSize,600.0,Classic-VBF,pdr_pct,1.9471794000000002,0.683194705051243,20,0.0
s3_area,fieldSize,800.0,Classic-VBF,pdr_pct,0.4274018,0.34865234050206706,20,0.0
s3_area,fieldSize,1000.0,Classic-VBF,pdr_pct,0.1528154,0.15757802951837196,20,0.0
s3_area,fieldSize,200.0,HHVBF,pdr_pct,17.908362000000004,0.88501177323363,20,0.0
s3_area,fieldSize,300.0,HHVBF,pdr_pct,13.9868527,1.364847384284651,20,0.0
s3_area,fieldSize,400.0,HHVBF,pdr_pct,8.362257949999998,1.0757769481325763,20,0.0
s3_area,fieldSize,500.0,HHVBF,pdr_pct,4.6506366,0.8043376451041248,20,0.0
s3_area,fieldSize,600.0,HHVBF,pdr_pct,2.2204611000000005,0.6486801428009196,20,0.0
s3_area,fieldSize,800.0,HHVBF,pdr_pct,0.4578896,0.345863612739991,20,0.0
s3_area,fieldSize,1000.0,HHVBF,pdr_pct,0.1528154,0.15757802951837196,20,0.0
s3_area,fieldSize,200.0,DBR,pdr_pct,6.081747399999999,0.7331368203148849,20,0.0
s3_area,fieldSize,300.0,DBR,pdr_pct,4.77482105,0.7649452405621766,20,0.0
s3_area,fieldSize,400.0,DBR,pdr_pct,2.91928985,0.5027374340137748,20,0.0
s3_area,fieldSize,500.0,DBR,pdr_pct,1.6101393000000002,0.6128379322691779,20,0.0
s3_area,fieldSize,600.0,DBR,pdr_pct,0.9133544500000002,0.48573048556473863,20,0.0
s3_area,fieldSize,800.0,DBR,pdr_pct,0.27439929999999996,0.25335729145418584,20,0.0
s3_area,fieldSize,1000.0,DBR,pdr_pct,0.1531872,0.26133916298835297,20,0.0
s3_area,fieldSize,200.0,Adaptive-IoUT-VBF,mean_delay_s,1.1676536,0.08808024014772838,20,0.0
s3_area,fieldSize,300.0,Adaptive-IoUT-VBF,mean_delay_s,1.9022298000000002,0.23278360340091214,20,0.0
s3_area,fieldSize,400.0,Adaptive-IoUT-VBF,mean_delay_s,2.40049445,0.2897572915936654,20,0.0
s3_area,fieldSize,500.0,Adaptive-IoUT-VBF,mean_delay_s,2.23927835,0.3307323270685176,20,0.0
s3_area,fieldSize,600.0,Adaptive-IoUT-VBF,mean_delay_s,1.5692928,0.43956237890799754,20,0.0
s3_area,fieldSize,800.0,Adaptive-IoUT-VBF,mean_delay_s,0.43875325,0.26986028934778505,20,0.0
s3_area,fieldSize,1000.0,Adaptive-IoUT-VBF,mean_delay_s,0.2890561,0.24496166482321685,20,0.0
s3_area,fieldSize,200.0,Classic-VBF,mean_delay_s,4.4692842,0.2476343878039679,20,0.0
s3_area,fieldSize,300.0,Classic-VBF,mean_delay_s,4.79557485,0.37386727652157464,20,0.0
s3_area,fieldSize,400.0,Classic-VBF,mean_delay_s,4.862100450000001,0.37975595122999645,20,0.0
s3_area,fieldSize,500.0,Classic-VBF,mean_delay_s,4.91739015,0.640420451892888,20,0.0
s3_area,fieldSize,600.0,Classic-VBF,mean_delay_s,4.28335575,1.3989601503898035,20,0.0
s3_area,fieldSize,800.0,Classic-VBF,mean_delay_s,0.7819394500000001,0.600579811459558,20,0.0
s3_area,fieldSize,1000.0,Classic-VBF,mean_delay_s,0.37544445,0.41440373796489005,20,0.0
s3_area,fieldSize,200.0,HHVBF,mean_delay_s,4.67312655,0.24106635021562975,20,0.0
s3_area,fieldSize,300.0,HHVBF,mean_delay_s,5.54929975,0.4226928732028562,20,0.0
s3_area,fieldSize,400.0,HHVBF,mean_delay_s,5.58733125,0.5577228946396826,20,0.0
s3_area,fieldSize,500.0,HHVBF,mean_delay_s,5.30617595,0.7753780400951594,20,0.0
s3_area,fieldSize,600.0,HHVBF,mean_delay_s,4.953700700000001,1.252976285682437,20,0.0
s3_area,fieldSize,800.0,HHVBF,mean_delay_s,1.13074735,0.8492014401296916,20,0.0
s3_area,fieldSize,1000.0,HHVBF,mean_delay_s,0.37544445,0.41440373796489005,20,0.0
s3_area,fieldSize,200.0,DBR,mean_delay_s,21.2294108,5.021035695357834,20,0.0
s3_area,fieldSize,300.0,DBR,mean_delay_s,31.9724222,9.90086875284235,20,0.0
s3_area,fieldSize,400.0,DBR,mean_delay_s,42.7430355,14.197019583175818,20,0.0
