scenario,parameter,value,protocol,metric,mean,ci95,n_runs,censored_fraction
s5_traffic,packetInterval,2.0,Adaptive-IoUT-VBF,throughput_kbps,1.1077759999999999,0.3305701724167729,20,0.0
s5_traffic,packetInterval,4.0,Adaptive-IoUT-VBF,throughput_kbps,0.814976,0.2143514954921787,20,0.0
s5_traffic,packetInterval,6.0,Adaptive-IoUT-VBF,throughput_kbps,0.595136,0.15767650198126754,20,0.0
s5_traffic,packetInterval,8.0,Adaptive-IoUT-VBF,throughput_kbps,0.49388799999999994,0.12307316256569248,20,0.0
s5_traffic,packetInterval,10.0,Adaptive-IoUT-VBF,throughput_kbps,0.38643200000000005,0.09552450988207889,20,0.0
s5_traffic,packetInterval,12.0,Adaptive-IoUT-VBF,throughput_kbps,0.31276800000000005,0.08580949800369517,20,0.0
s5_traffic,packetInterval,15.0,Adaptive-IoUT-VBF,throughput_kbps,0.261632,0.06486300065868905,20,0.0
s5_traffic,packetInterval,2.0,Classic-VBF,throughput_kbps,0.161516,0.03113884926981776,20,0.0
s5_traffic,packetInterval,4.0,Classic-VBF,throughput_kbps,0.15176,0.03258852795731432,20,0.0
s5_traffic,packetInterval,6.0,Classic-VBF,throughput_kbps,0.155012,0.030753647664422974,20,0.0
s5_traffic,packetInterval,8.0,Classic-VBF,throughput_kbps,0.153928,0.031038633025396337,20,0.0
s5_traffic,packetInterval,10.0,Classic-VBF,throughput_kbps,0.149592,0.02942558430375944,20,0.0
s5_traffic,packetInterval,12.0,Classic-VBF,throughput_kbps,0.145256,0.02964572890114184,20,0.0
s5_traffic,packetInterval,15.0,Classic-VBF,throughput_kbps,0.145256,0.028528022885722083,20,0.0
s5_traffic,packetInterval,2.0,HHVBF,throughput_kbps,0.16043200000000002,0.031125795884515684,20,0.0
s5_traffic,packetInterval,4.0,HHVBF,throughput_kbps,0.16693600000000003,0.02964572890114184,20,0.0
s5_traffic,packetInterval,6.0,HHVBF,throughput_kbps,0.16585200000000003,0.028750328672254518,20,0.0
s5_traffic,packetInterval,8.0,HHVBF,throughput_kbps,0.165852,0.027792033124072905,20,0.0
s5_traffic,packetInterval,10.0,HHVBF,throughput_kbps,0.16585200000000003,0.029677696884289305,20,0.0
