scenario,parameter,value,protocol,metric,mean,ci95,n_runs,censored_fraction
s6_depth,waterDepth,100.0,Adaptive-IoUT-VBF,throughput_kbps,1.2288,0.14884472354341244,20,0.0
s6_depth,waterDepth,200.0,Adaptive-IoUT-VBF,throughput_kbps,1.0224639999999998,0.14695900977187937,20,0.0
s6_depth,waterDepth,300.0,Adaptive-IoUT-VBF,throughput_kbps,0.923328,0.144653964438813,20,0.0
s6_depth,waterDepth,500.0,Adaptive-IoUT-VBF,throughput_kbps,0.595136,0.15767650198126754,20,0.0
s6_depth,waterDepth,700.0,Adaptive-IoUT-VBF,throughput_kbps,0.37350399999999995,0.18346062049030576,20,0.0
s6_depth,waterDepth,1000.0,Adaptive-IoUT-VBF,throughput_kbps,0.224512,0.14966945812107746,20,0.0
s6_depth,waterDepth,100.0,Classic-VBF,throughput_kbps,0.418424,0.03018906785967154,20,0.0
s6_depth,waterDepth,200.0,Classic-VBF,throughput_kbps,0.31436,0.034289928127223535,20,0.0
s6_depth,waterDepth,300.0,Classic-VBF,throughput_kbps,0.250404,0.03199706591926086,20,0.0
s6_depth,waterDepth,500.0,Classic-VBF,throughput_kbps,0.155012,0.030753647664422974,20,0.0
s6_depth,waterDepth,700.0,Classic-VBF,throughput_kbps,0.083468,0.03092933402752292,20,0.0
s6_depth,waterDepth,1000.0,Classic-VBF,throughput_kbps,0.041192,0.022783448655149807,20,0.0
s6_depth,waterDepth,100.0,HHVBF,throughput_kbps,0.42817999999999995,0.027517730701558562,20,0.0
s6_depth,waterDepth,200.0,HHVBF,throughput_kbps,0.332788,0.03361567257818874,20,0.0
s6_depth,waterDepth,300.0,HHVBF,throughput_kbps,0.274252,0.0329646175165057,20,0.0
s6_depth,waterDepth,500.0,HHVBF,throughput_kbps,0.165852,0.028750328672254518,20,0.0
s6_depth,waterDepth,700.0,HHVBF,throughput_kbps,0.095392,0.03314901920220206,20,0.0
s6_depth,waterDepth,1000.0,HHVBF,throughput_kbps,0.044444,0.02429686973041521,20,0.0
s6_depth,waterDepth,100.0,DBR,throughput_kbps,0.014476000000000003,0.0014860551344056767,20,0.0
s6_depth,waterDepth,200.0,DBR,throughput_kbps,0.008836,0.0019591186127624893,20,0.0
s6_depth,waterDepth,300.0,DBR,throughput_kbps,0.007144,0.002030605394270078,20,0.0
s6_depth,waterDepth,500.0,DBR,throughput_kbps,0.004982000000000002,0.0018994574182734118,20,0.0
s6_depth,waterDepth,700.0,DBR,throughput_kbps,0.003196,0.0015919538428513756,20,0.0
s6_depth,waterDepth,1000.0,DBR,throughput_kbps,0.0018800000000000002,0.0011055945944532337,20,0.0
s6_depth,waterDepth,100.0,Adaptive-IoUT-VBF,pdr_pct,50.16996199999999,4.477710366574689,20,0.0
s6_depth,waterDepth,200.0,Adaptive-IoUT-VBF,pdr_pct,41.080289699999994,4.791833600850872,20,0.0
s6_depth,waterDepth,300.0,Adaptive-IoUT-VBF,pdr_pct,35.944455399999995,4.758432602676249,20,0.0
s6_depth,waterDepth,500.0,Adaptive-IoUT-VBF,pdr_pct,23.2394248,5.1967923658552975,20,0.0
s6_depth,waterDepth,700.0,Adaptive-IoUT-VBF,pdr_pct,14.653135,6.220197327273231,20,0.0
s6_depth,waterDepth,1000.0,Adaptive-IoUT-VBF,pdr_pct,9.085428150000002,5.089495937864867,20,0.0
s6_depth,waterDepth,100.0,Classic-VBF,pdr_pct,11.7359017,0.8431670843896231,20,0.0
s6_depth,waterDepth,200.0,Classic-VBF,pdr_pct,8.8164224,0.958378094538935,20,0.0
s6_depth,waterDepth,300.0,Classic-VBF,pdr_pct,7.02465655,0.900718360737016,20,0.0
s6_depth,waterDepth,500.0,Classic-VBF,pdr_pct,4.347052,0.8617718138888373,20,0.0
s6_depth,waterDepth,700.0,Classic-VBF,pdr_pct,2.3433474999999993,0.8697433192582369,20,0.0
s6_depth,waterDepth,1000.0,Classic-VBF,pdr_pct,1.1583812999999998,0.6428183128869067,20,0.0
s6_depth,waterDepth,100.0,HHVBF,pdr_pct,12.008993949999999,0.7668320473262398,20,0.0
s6_depth,waterDepth,200.0,HHVBF,pdr_pct,9.33325055,0.9381936077012522,20,0.0
s6_depth,waterDepth,300.0,HHVBF,pdr_pct,7.693364800000002,0.9275474765194377,20,0.0
s6_depth,waterDepth,500.0,HHVBF,pdr_pct,4.6506366,0.8043376451041248,20,0.0
s6_depth,waterDepth,700.0,HHVBF,pdr_pct,2.6776047,0.9309321738516385,20,0.0
s6_depth,waterDepth,1000.0,HHVBF,pdr_pct,1.2496622,0.6856911715011064,20,0.0
s6_depth,waterDepth,100.0,DBR,pdr_pct,4.6820528999999995,0.4801317246712431,20,0.0
s6_depth,waterDepth,200.0,DBR,pdr_pct,2.8575705500000006,0.632614906485723,20,0.0
s6_depth,waterDepth,300.0,DBR,pdr_pct,2.3100744499999997,0.6569934666683982,20,0.0
s6_depth,waterDepth,500.0,DBR,pdr_pct,1.6101393000000002,0.6128379322691779,20,0.0
s6_depth,waterDepth,700.0,DBR,pdr_pct,1.0340144500000001,0.5145307972688222,20,0.0
s6_depth,waterDepth,1000.0,DBR,pdr_pct,0.6097720000000001,0.35962345022454,20,0.0
s6_depth,waterDepth,100.0,Adaptive-IoUT-VBF,mean_delay_s,1.6724658,0.15922991134328524,20,0.0
s6_depth,waterDepth,200.0,Adaptive-IoUT-VBF,mean_delay_s,1.81690275,0.21998602545261162,20,0.0
s6_depth,waterDepth,300.0,Adaptive-IoUT-VBF,mean_delay_s,2.0507671000000003,0.2195568136500111,20,0.0
s6_depth,waterDepth,500.0,Adaptive-IoUT-VBF,mean_delay_s,2.23927835,0.3307323270685176,20,0.0
s6_depth,waterDepth,700.0,Adaptive-IoUT-VBF,mean_delay_s,1.8808743000000003,0.6227011016755661,20,0.0
s6_depth,waterDepth,1000.0,Adaptive-IoUT-VBF,mean_delay_s,1.0994152,0.5459616858503402,20,0.0
s6_depth,waterDepth,100.0,Classic-VBF,mean_delay_s,4.3441943,0.3777516346928472,20,0.0
s6_depth,waterDepth,200.0,Classic-VBF,mean_delay_s,4.3694425,0.42507889883888933,20,0.0
s6_depth,waterDepth,300.0,Classic-VBF,mean_delay_s,4.344088750000001,0.382885991447194,20,0.0
s6_depth,waterDepth,500.0,Classic-VBF,mean_delay_s,4.91739015,0.640420451892888,20,0.0
s6_depth,waterDepth,700.0,Classic-VBF,mean_delay_s,5.44527125,1.4370327519861517,20,0.0
s6_depth,waterDepth,1000.0,Classic-VBF,mean_delay_s,2.9310456999999994,1.4391738054547942,20,0.0
s6_depth,waterDepth,100.0,HHVBF,mean_delay_s,4.6837278499999995,0.4055621823976677,20,0.0
s6_depth,waterDepth,200.0,HHVBF,mean_delay_s,5.137970750000001,0.6284177774927842,20,0.0
s6_depth,waterDepth,300.0,HHVBF,mean_delay_s,5.137880600000001,0.5106396486864829,20,0.0
s6_depth,waterDepth,500.0,HHVBF,mean_delay_s,5.30617595,0.7753780400951594,20,0.0
s6_depth,waterDepth,700.0,HHVBF,mean_delay_s,5.0737805,1.6490990782372081,20,0.0
s6_depth,waterDepth,1000.0,HHVBF,mean_delay_s,3.0765749999999996,1.4864512551624869,20,0.0
s6_depth,waterDepth,100.0,DBR,mean_delay_s,24.302107850000002,6.285297698242536,20,0.0
s6_depth,waterDepth,200.0,DBR,mean_delay_s,39.3508103,11.906167070978947,20,0.0
s6_depth,waterDepth,300.0,DBR,mean_delay_s,40.67886015,14.842264878073095,20,0.0
s6_depth,waterDepth,500.0,DBR,mean_delay_s,56.082997150000004,20.846404489010336,20,0.0
s6_depth,waterDepth,700.0,DBR,mean_delay_s,68.71691760000002,33.89726424986937,20,0.0
s6_depth,waterDepth,1000.0,DBR,mean_delay_s,39.95641975,27.37696477481519,20,0.0
s6_depth,waterDepth,100.0,Adaptive-IoUT-VBF,mean_hops,0.87356215,0.1333444723806667,20,0.0
s6_depth,waterDepth,200.0,Adaptive-IoUT-VBF,mean_hops,0.96140915,0.17455923459718276,20,0.0
s6_depth,waterDepth,300.0,Adaptive-IoUT-VBF,mean_hops,1.1506695500000002,0.18246383169070157,20,0.0
s6_depth,waterDepth,500.0,Adaptive-IoUT-VBF,mean_hops,1.3353194,0.27794156560088584,20,0.0
s6_depth,waterDepth,700.0,Adaptive-IoUT-VBF,mean_hops,1.12741815,0.47636167129529416,20,0.0
s6_depth,waterDepth,1000.0,Adaptive-IoUT-VBF,mean_hops,0.5896608999999999,0.40401069535218664,20,0.0
s6_depth,waterDepth,100.0,Classic-VBF,mean_hops,1.0,0.0,20,0.0
s6_depth,waterDepth,200.0,Classic-VBF,mean_hops,1.0,0.0,20,0.0
s6_depth,waterDepth,300.0,Classic-VBF,mean_hops,1.0,0.0,20,0.0
s6_depth,waterDepth,500.0,Classic-VBF,mean_hops,1.0,0.0,20,0.0
s6_depth,waterDepth,700.0,Classic-VBF,mean_hops,0.95,0.10465000000000002,20,0.0
s6_depth,waterDepth,1000.0,Classic-VBF,mean_hops,0.65,0.22902512474215111,20,0.0
s6_depth,waterDepth,100.0,HHVBF,mean_hops,1.0,0.0,20,0.0
s6_depth,waterDepth,200.0,HHVBF,mean_hops,1.0,0.0,20,0.0
s6_depth,waterDepth,300.0,HHVBF,mean_hops,1.0,0.0,20,0.0
s6_depth,waterDepth,500.0,HHVBF,mean_hops,1.0,0.0,20,0.0
s6_depth,waterDepth,700.0,HHVBF,mean_hops,0.9,0.14405013929732574,20,0.0
s6_depth,waterDepth,1000.0,HHVBF,mean_hops,0.65,0.22902512474215111,20,0.0
s6_depth,waterDepth,100.0,DBR,mean_hops,1.0523196,0.18046323834080247,20,0.0
s6_depth,waterDepth,200.0,DBR,mean_hops,1.0003174499999998,0.30377818881163193,20,0.0
s6_depth,waterDepth,300.0,DBR,mean_hops,1.26053565,0.6406774541294419,20,0.0
s6_depth,waterDepth,500.0,DBR,mean_hops,1.17315475,0.45727715709936295,20,0.0
s6_depth,waterDepth,700.0,DBR,mean_hops,0.8233333,0.5398375608142708,20,0.0
s6_depth,waterDepth,1000.0,DBR,mean_hops,0.5,0.5356488904944893,20,0.0
s6_depth,waterDepth,100.0,Adaptive-IoUT-VBF,energy_gap_J,3.1296843,0.29599783738156926,20,0.0
s6_depth,waterDepth,200.0,Adaptive-IoUT-VBF,energy_gap_J,3.5104408,0.35038154420861917,20,0.0
