label,protocol,seed,nNodes,nSources,fieldSize,waterDepth,maxSpeed,basePipeR,commRange,packetInterval,payloadBytes,bitRate,simTime,generated,delivered,duplicates,dropped,transmissions,fallbacks,pdr_pct,throughput_kbps,mean_delay_s,mean_hops,lifetime_s,lifetime_censored,jain_fairness,energy_gap_J,mean_consumed_J
s1_density,adaptive,2,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,12,16,126,298,3,7.317073,0.207360,0.880451,0.083333,-1.000000,1,0.909166,3.463876,18.160000
s1_density,adaptive,1,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,0,0,143,279,6,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0.891558,4.019383,17.470000
s1_density,adaptive,3,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,3,5,154,257,0,1.818182,0.023040,0.376290,0.000000,-1.000000,1,0.890688,3.552530,15.310000
s1_density,adaptive,4,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,3,7,154,257,3,1.840491,0.042240,0.610683,0.000000,-1.000000,1,0.940769,1.978278,16.190000
s1_density,adaptive,5,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,5,1,151,245,2,3.030303,0.083200,0.734893,0.000000,-1.000000,1,0.903445,2.821559,13.870000
s1_density,adaptive,6,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,1,6,133,277,0,0.606061,0.001280,0.129174,0.000000,-1.000000,1,0.787385,7.731903,16.020000
s1_density,adaptive,7,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,1,9,166,242,0,0.606061,0.001280,0.120760,0.000000,-1.000000,1,0.884081,3.735215,15.120000
s1_density,adaptive,8,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,16,9,142,255,5,9.756098,0.289280,1.083758,0.250000,-1.000000,1,0.891177,3.521744,15.250000
s1_density,adaptive,9,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,0,0,150,265,7,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0.872546,4.297071,15.710000
s1_density,adaptive,10,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,9,6,156,231,4,5.454545,0.165120,0.789999,0.000000,-1.000000,1,0.953092,1.241937,12.920000
s1_density,adaptive,11,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,7,23,146,249,3,4.242424,0.066560,0.433508,0.000000,-1.000000,1,0.944950,1.748325,15.430000
s1_density,adaptive,12,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,7,5,154,238,0,4.242424,0.104960,1.565014,0.714286,-1.000000,1,0.943907,1.536417,13.300000
s1_density,adaptive,13,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,18,14,144,244,10,10.909091,0.311040,1.151437,0.277778,-1.000000,1,0.953341,1.321205,13.820000
s1_density,adaptive,14,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,0,0,149,236,0,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0.933451,1.760258,12.770000
s1_density,adaptive,15,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,1,7,164,218,0,0.609756,0.001280,0.125250,0.000000,-1.000000,1,0.957950,1.014152,11.800000
s1_density,adaptive,16,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,15,9,145,234,2,9.090909,0.307200,0.875621,0.000000,-1.000000,1,0.954700,1.217795,13.130000
s1_density,adaptive,17,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,12,6,138,254,3,7.361963,0.168960,1.518899,0.750000,-1.000000,1,0.918129,2.563933,14.990000
s1_density,adaptive,18,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,1,9,155,252,1,0.606061,0.001280,0.131050,0.000000,-1.000000,1,0.941694,1.755238,14.600000
s1_density,adaptive,19,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,0,0,150,241,0,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0.967378,0.884375,13.330000
s1_density,adaptive,20,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,1,3,141,312,26,0.609756,0.001280,0.128627,0.000000,-1.000000,1,0.744932,11.949467,20.000000
s1_density,vbf,2,10,5,500.000000,500.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,2,25,0,242,0,1.219512,0.043360,1.861529,1.000000,-1.000000,1,0.722103,9.901334,14.940000
