label,protocol,seed,nNodes,nSources,fieldSize,waterDepth,maxSpeed,basePipeR,commRange,packetInterval,payloadBytes,bitRate,simTime,generated,delivered,duplicates,dropped,transmissions,fallbacks,pdr_pct,throughput_kbps,mean_delay_s,mean_hops,lifetime_s,lifetime_censored,jain_fairness,energy_gap_J,mean_consumed_J
s2_speed,adaptive,1,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,29,42,113,1280,5,17.682927,0.536320,3.013777,1.827586,-1.000000,1,0.852229,6.702716,20.870000
s2_speed,adaptive,2,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,35,54,151,1297,2,21.341463,0.601600,3.656287,2.542857,-1.000000,1,0.902249,4.365882,21.184000
s2_speed,adaptive,3,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,49,40,100,1382,31,29.696970,0.907520,2.736161,1.571429,-1.000000,1,0.861929,6.358889,21.320000
s2_speed,adaptive,4,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,61,65,103,1297,30,37.423313,1.057280,1.521115,0.721311,-1.000000,1,0.869103,6.103104,21.680000
s2_speed,adaptive,5,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,0,0,138,1340,3,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0.875202,5.358512,20.040000
s2_speed,adaptive,6,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,14,24,181,1214,8,8.484848,0.248320,3.227147,2.142857,-1.000000,1,0.877973,4.957163,18.992000
s2_speed,adaptive,7,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,3,13,145,1334,28,1.818182,0.042240,3.818089,2.666667,-1.000000,1,0.885250,5.075678,20.770000
s2_speed,adaptive,8,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,30,27,170,1269,32,18.292683,0.480000,4.080955,2.700000,-1.000000,1,0.885056,5.099029,20.828000
s2_speed,adaptive,9,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,51,60,75,1312,6,31.288344,0.948480,2.041149,1.039216,-1.000000,1,0.857653,6.253359,20.282000
s2_speed,adaptive,10,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,5,53,206,1354,9,3.030303,0.006400,0.122707,0.000000,-1.000000,1,0.903221,4.187029,20.532000
s2_speed,adaptive,11,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,9,42,172,1130,9,5.454545,0.069120,1.382736,0.777778,-1.000000,1,0.891599,4.085392,17.764000
s2_speed,adaptive,12,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,47,45,149,1334,11,28.484848,0.885760,4.063953,2.680851,-1.000000,1,0.885613,4.817863,19.782000
s2_speed,adaptive,13,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,62,59,79,1403,25,37.575758,1.135360,2.654021,1.516129,-1.000000,1,0.865859,6.380801,22.074000
s2_speed,adaptive,14,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,25,50,140,1144,8,15.151515,0.377600,1.475362,0.680000,-1.000000,1,0.914221,3.122649,17.386000
s2_speed,adaptive,15,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,23,31,122,1219,10,14.024390,0.413440,2.775395,1.782609,-1.000000,1,0.838964,6.192014,17.542000
s2_speed,adaptive,18,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,28,38,128,1272,14,16.969697,0.515840,2.662968,1.607143,-1.000000,1,0.863674,5.681026,19.312000
s2_speed,adaptive,16,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,28,36,130,1258,14,16.969697,0.515840,2.031081,1.035714,-1.000000,1,0.920371,3.214273,19.346000
s2_speed,adaptive,17,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,0,0,147,1302,19,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0.871962,5.414511,19.698000
s2_speed,adaptive,20,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,23,28,135,1269,29,14.024390,0.413440,0.957748,0.173913,-1.000000,1,0.901769,4.186333,20.208000
s2_speed,vbf,1,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,3,45,0,500,0,1.829268,0.065040,5.711823,1.000000,-1.000000,1,0.472621,14.611666,8.892000
s2_speed,adaptive,19,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,48,54,109,1236,2,29.090909,0.887040,3.700834,2.604167,-1.000000,1,0.894060,4.533987,20.202000
s2_speed,vbf,2,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,6,41,0,489,0,3.658537,0.130080,5.776318,1.000000,-1.000000,1,0.531372,11.055587,8.186000
s2_speed,vbf,3,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,4,53,0,516,0,2.424242,0.086720,3.396522,1.000000,-1.000000,1,0.513125,12.149051,8.462000
s2_speed,vbf,4,50,5,500.000000,500.000000,1.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,6,85,0,457,0,3.680982,0.130080,2.564685,1.000000,-1.000000,1,0.464653,13.759782,8.154000
