label,protocol,seed,nNodes,nSources,fieldSize,waterDepth,maxSpeed,basePipeR,commRange,packetInterval,payloadBytes,bitRate,simTime,generated,delivered,duplicates,dropped,transmissions,fallbacks,pdr_pct,throughput_kbps,mean_delay_s,mean_hops,lifetime_s,lifetime_censored,jain_fairness,energy_gap_J,mean_consumed_J
s3_area,adaptive,1,50,5,200.000000,200.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,105,252,28,1015,6,64.024390,1.228800,1.243005,0.571429,-1.000000,1,0.983398,1.509613,45.084000
s3_area,adaptive,2,50,5,200.000000,200.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,98,280,24,974,20,59.756098,1.066240,0.853592,0.285714,-1.000000,1,0.989463,0.974153,45.980000
s3_area,adaptive,3,50,5,200.000000,200.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,101,231,26,1053,9,61.212121,1.223680,0.970319,0.356436,-1.000000,1,0.979988,1.801801,44.564000
s3_area,adaptive,4,50,5,200.000000,200.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,106,239,8,1042,1,65.030675,1.345280,1.313464,0.584906,-1.000000,1,0.986511,1.225914,45.134000
s3_area,adaptive,5,50,5,200.000000,200.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,88,187,28,1091,25,53.333333,0.995840,0.900924,0.329545,-1.000000,1,0.984623,1.303634,42.062000
s3_area,adaptive,6,50,5,200.000000,200.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,106,210,19,1071,6,64.242424,1.422080,1.467574,0.707547,-1.000000,1,0.984760,1.267841,41.276000
s3_area,adaptive,7,50,5,200.000000,200.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,101,251,13,984,6,61.212121,1.185280,1.073273,0.455446,-1.000000,1,0.983876,1.403603,43.172000
s3_area,adaptive,8,50,5,200.000000,200.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,102,211,33,1020,26,62.195122,1.205760,1.205334,0.519608,-1.000000,1,0.981667,1.475756,39.876000
s3_area,adaptive,9,50,5,200.000000,200.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,111,227,16,1004,14,68.098160,1.466880,1.173376,0.486486,-1.000000,1,0.987437,1.072549,42.418000
s3_area,adaptive,10,50,5,200.000000,200.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,122,163,16,1085,11,73.939394,1.807360,1.438530,0.647541,-1.000000,1,0.988268,0.985327,41.746000
s3_area,adaptive,11,50,5,200.000000,200.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,113,216,35,1002,10,68.484848,1.431040,1.156475,0.486726,-1.000000,1,0.986176,1.237894,44.462000
