label,protocol,seed,nNodes,nSources,fieldSize,waterDepth,maxSpeed,basePipeR,commRange,packetInterval,payloadBytes,bitRate,simTime,generated,delivered,duplicates,dropped,transmissions,fallbacks,pdr_pct,throughput_kbps,mean_delay_s,mean_hops,lifetime_s,lifetime_censored,jain_fairness,energy_gap_J,mean_consumed_J
s4_radius,adaptive,1,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,164,15,30,91,1187,174,9.146341,0.211200,1.640340,0.733333,-1.000000,1,0.900869,4.292184,20.520000
s4_radius,adaptive,2,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,164,59,85,73,1235,157,35.975610,0.920320,2.472461,1.406780,-1.000000,1,0.927600,3.384841,22.498000
s4_radius,adaptive,3,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,54,49,79,1266,232,32.727273,0.837120,2.011216,1.018519,-1.000000,1,0.872875,5.617329,20.594000
s4_radius,adaptive,4,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,163,76,76,74,1255,216,46.625767,1.326080,1.238028,0.381579,-1.000000,1,0.895189,4.819505,21.720000
s4_radius,adaptive,5,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,23,20,88,1280,191,13.939394,0.336640,1.205104,0.434783,-1.000000,1,0.912395,3.838402,20.904000
s4_radius,adaptive,6,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,16,27,109,1223,140,9.696970,0.231680,3.030863,1.875000,-1.000000,1,0.909850,3.802418,20.094000
s4_radius,adaptive,8,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,164,17,37,115,1201,168,10.365854,0.117760,1.487119,0.882353,-1.000000,1,0.912844,3.715848,20.346000
s4_radius,adaptive,7,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,30,52,65,1216,169,18.181818,0.403200,2.848993,1.733333,-1.000000,1,0.922895,3.356353,20.892000
s4_radius,adaptive,9,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,163,48,65,85,1275,199,29.447853,0.829440,1.789076,0.812500,-1.000000,1,0.897954,4.453129,20.646000
s4_radius,adaptive,10,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,18,68,131,1241,141,10.909091,0.157440,1.891112,1.111111,-1.000000,1,0.951282,2.090373,20.918000
s4_radius,adaptive,11,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,46,56,112,1160,125,27.878788,0.673280,1.263508,0.478261,-1.000000,1,0.922733,3.237774,20.110000
s4_radius,adaptive,12,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,32,80,122,1190,127,19.393939,0.328960,1.551870,0.843750,-1.000000,1,0.916519,3.594659,20.592000
s4_radius,adaptive,13,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,50,55,80,1215,145,30.303030,0.812800,1.111212,0.340000,-1.000000,1,0.902695,4.306679,20.998000
s4_radius,adaptive,14,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,11,31,94,1237,169,6.666667,0.052480,0.379777,0.090909,-1.000000,1,0.902966,4.077653,19.940000
s4_radius,adaptive,15,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,164,27,55,113,1182,128,16.463415,0.399360,2.330556,1.296296,-1.000000,1,0.926039,2.872308,18.672000
s4_radius,adaptive,16,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,18,26,96,1266,181,10.909091,0.253440,2.027293,1.055556,-1.000000,1,0.932300,2.911830,20.752000
s4_radius,adaptive,17,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,163,23,30,110,1217,176,14.110429,0.259840,1.641145,0.869565,-1.000000,1,0.915586,3.551278,20.108000
s4_radius,adaptive,18,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,29,40,70,1238,125,17.575758,0.440320,1.868389,0.896552,-1.000000,1,0.914824,3.727189,20.906000
s4_radius,adaptive,19,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,33,63,83,1229,142,20.000000,0.483840,2.802780,1.696970,-1.000000,1,0.917859,3.541472,20.634000
s4_radius,vbf,1,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,164,2,6,0,195,0,1.219512,0.043360,1.967046,1.000000,-1.000000,1,0.369161,9.279174,3.966000
s4_radius,adaptive,20,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,164,25,37,80,1226,164,15.243902,0.416000,0.951731,0.160000,-1.000000,1,0.927421,3.124172,20.712000
s4_radius,vbf,2,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,164,6,21,0,266,0,3.658537,0.130080,3.149504,1.000000,-1.000000,1,0.481071,8.205385,5.136000
s4_radius,vbf,3,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,7,36,0,247,0,4.242424,0.151760,1.928839,1.000000,-1.000000,1,0.395789,10.189518,4.782000
s4_radius,vbf,4,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,163,7,69,0,247,0,4.294479,0.151760,2.269557,1.000000,-1.000000,1,0.412024,10.284645,5.104000
s4_radius,vbf,5,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,3,15,0,285,0,1.818182,0.065040,2.134459,1.000000,-1.000000,1,0.444271,9.553343,5.288000
s4_radius,vbf,6,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,0,0,0,208,0,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0.363271,8.912829,3.730000
s4_radius,vbf,7,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,6,14,0,235,0,3.636364,0.130080,5.131801,1.000000,-1.000000,1,0.435923,8.822065,4.748000
s4_radius,vbf,8,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,164,2,0,0,234,0,1.219512,0.043360,5.827438,1.000000,-1.000000,1,0.340214,11.020228,4.240000
s4_radius,vbf,9,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,163,3,27,0,236,0,1.840491,0.065040,2.739519,1.000000,-1.000000,1,0.343690,11.351577,4.424000
s4_radius,vbf,10,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,0,0,0,226,0,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0.368284,9.359867,3.988000
s4_radius,vbf,12,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,5,9,0,203,0,3.030303,0.108400,3.041900,1.000000,-1.000000,1,0.340737,9.722597,3.748000
s4_radius,vbf,11,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,4,23,0,239,0,2.424242,0.086720,1.843248,1.000000,-1.000000,1,0.393448,9.834402,4.578000
s4_radius,vbf,13,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,8,41,0,251,0,4.848485,0.173440,2.848409,1.000000,-1.000000,1,0.400037,9.881345,4.706000
s4_radius,vbf,14,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,1,1,0,242,0,0.606061,0.021680,0.923685,1.000000,-1.000000,1,0.260726,15.049565,4.210000
s4_radius,vbf,15,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,164,3,18,0,210,0,1.829268,0.065040,2.892909,1.000000,-1.000000,1,0.278480,11.891678,3.590000
s4_radius,vbf,16,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,2,7,0,250,0,1.212121,0.043360,1.848694,1.000000,-1.000000,1,0.391544,9.791579,4.528000
s4_radius,vbf,17,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,163,1,2,0,213,0,0.613497,0.021680,2.857312,1.000000,-1.000000,1,0.353671,9.548923,3.860000
s4_radius,vbf,18,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,5,24,0,215,0,3.030303,0.108400,2.488831,1.000000,-1.000000,1,0.326331,10.481211,3.828000
s4_radius,vbf,19,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,4,7,0,222,0,2.424242,0.086720,4.193409,1.000000,-1.000000,1,0.285639,12.591038,3.916000
s4_radius,vbf,20,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,164,1,23,0,267,0,0.609756,0.021680,0.902429,1.000000,-1.000000,1,0.492209,7.918935,5.144000
s4_radius,hhvbf,1,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,164,2,6,0,195,0,1.219512,0.043360,1.967046,1.000000,-1.000000,1,0.370008,9.255901,3.968000
s4_radius,hhvbf,3,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,8,37,0,248,0,4.848485,0.173440,1.987377,1.000000,-1.000000,1,0.398522,10.279364,4.870000
s4_radius,hhvbf,2,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,164,7,24,0,271,0,4.268293,0.151760,3.415183,1.000000,-1.000000,1,0.492298,8.061245,5.238000
s4_radius,hhvbf,4,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,163,7,69,0,252,0,4.294479,0.151760,2.269557,1.000000,-1.000000,1,0.417724,10.244627,5.184000
s4_radius,hhvbf,5,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,3,15,0,288,0,1.818182,0.065040,2.134459,1.000000,-1.000000,1,0.455104,9.258014,5.314000
s4_radius,hhvbf,6,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,1,0,0,211,0,0.606061,0.021680,6.615257,1.000000,-1.000000,1,0.370973,8.824348,3.796000
s4_radius,hhvbf,7,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,5,14,0,227,0,3.030303,0.108400,4.665338,1.000000,-1.000000,1,0.415970,9.005853,4.530000
s4_radius,hhvbf,8,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,164,0,0,0,228,0,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0.324669,11.286073,4.096000
s4_radius,hhvbf,9,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,163,3,27,0,236,0,1.840491,0.065040,2.691621,1.000000,-1.000000,1,0.343594,11.360725,4.426000
s4_radius,hhvbf,10,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,0,0,0,227,0,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0.361475,9.552540,3.972000
s4_radius,hhvbf,11,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,4,23,0,241,0,2.424242,0.086720,1.843248,1.000000,-1.000000,1,0.396424,9.826967,4.622000
s4_radius,hhvbf,12,50,5,500.000000,500.000000,3.000000,50.000000,120.000000,6.000000,512,10000.000000,200.000000,165,5,9,0,204,0,3.030303,0.108400,3.003891,1.000000,-1.000000,1,0.339663,9.761415,3.748000
