label,protocol,seed,nNodes,nSources,fieldSize,waterDepth,maxSpeed,basePipeR,commRange,packetInterval,payloadBytes,bitRate,simTime,generated,delivered,duplicates,dropped,transmissions,fallbacks,pdr_pct,throughput_kbps,mean_delay_s,mean_hops,lifetime_s,lifetime_censored,jain_fairness,energy_gap_J,mean_consumed_J
s5_traffic,adaptive,1,50,5,500.000000,500.000000,3.000000,150.000000,120.000000,2.000000,512,10000.000000,200.000000,487,45,26,291,1556,48,9.240246,0.825600,2.343072,1.266667,-1.000000,1,0.811574,10.712662,25.470000
s5_traffic,adaptive,2,50,5,500.000000,500.000000,3.000000,150.000000,120.000000,2.000000,512,10000.000000,200.000000,487,86,47,279,1699,27,17.659138,1.492480,2.453382,1.500000,-1.000000,1,0.842817,9.827867,28.596000
s5_traffic,adaptive,3,50,5,500.000000,500.000000,3.000000,150.000000,120.000000,2.000000,512,10000.000000,200.000000,487,105,31,275,1696,53,21.560575,1.920000,1.690093,0.752381,-1.000000,1,0.781043,13.018620,26.074000
s5_traffic,adaptive,4,50,5,500.000000,500.000000,3.000000,150.000000,120.000000,2.000000,512,10000.000000,200.000000,487,163,60,300,1630,51,33.470226,3.127040,1.329907,0.441718,-1.000000,1,0.813031,11.235575,26.948000
s5_traffic,adaptive,5,50,5,500.000000,500.000000,3.000000,150.000000,120.000000,2.000000,512,10000.000000,200.000000,488,46,13,284,1680,55,9.426230,0.826880,1.305223,0.434783,-1.000000,1,0.810440,11.065809,26.132000
s5_traffic,adaptive,6,50,5,500.000000,500.000000,3.000000,150.000000,120.000000,2.000000,512,10000.000000,200.000000,490,28,22,326,1622,44,5.714286,0.477440,3.246051,2.071429,-1.000000,1,0.805213,11.025649,25.248000
s5_traffic,adaptive,7,50,5,500.000000,500.000000,3.000000,150.000000,120.000000,2.000000,512,10000.000000,200.000000,487,46,37,242,1670,35,9.445585,0.750080,4.060427,2.760870,-1.000000,1,0.841038,9.192638,26.418000
s5_traffic,adaptive,8,50,5,500.000000,500.000000,3.000000,150.000000,120.000000,2.000000,512,10000.000000,200.000000,487,35,36,381,1602,51,7.186858,0.486400,3.491325,2.342857,-1.000000,1,0.846118,8.691232,25.886000
s5_traffic,adaptive,9,50,5,500.000000,500.000000,3.000000,150.000000,120.000000,2.000000,512,10000.000000,200.000000,488,83,53,305,1637,49,17.008197,1.546240,1.307976,0.421687,-1.000000,1,0.788206,12.385338,25.776000
s5_traffic,adaptive,10,50,5,500.000000,500.000000,3.000000,150.000000,120.000000,2.000000,512,10000.000000,200.000000,488,24,66,386,1586,28,4.918033,0.280320,1.894919,1.166667,-1.000000,1,0.868261,7.266970,25.636000
