label,protocol,seed,nNodes,nSources,fieldSize,waterDepth,maxSpeed,basePipeR,commRange,packetInterval,payloadBytes,bitRate,simTime,generated,delivered,duplicates,dropped,transmissions,fallbacks,pdr_pct,throughput_kbps,mean_delay_s,mean_hops,lifetime_s,lifetime_censored,jain_fairness,energy_gap_J,mean_consumed_J
s6_depth,adaptive,1,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,89,117,11,1224,17,54.268293,1.381120,1.468208,0.674157,-1.000000,1,0.935689,4.063900,30.546000
s6_depth,adaptive,2,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,106,146,9,1310,5,64.634146,1.690880,2.131014,1.216981,-1.000000,1,0.966243,2.311128,33.644000
s6_depth,adaptive,3,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,91,111,9,1238,16,55.151515,1.402880,1.673531,0.857143,-1.000000,1,0.936875,3.828451,29.336000
s6_depth,adaptive,4,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,84,112,26,1237,26,51.533742,1.201920,1.017016,0.345238,-1.000000,1,0.950890,3.029536,30.068000
s6_depth,adaptive,5,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,84,92,34,1279,21,50.909091,1.374720,1.525037,0.702381,-1.000000,1,0.951884,2.959164,29.992000
s6_depth,adaptive,6,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,81,95,17,1290,8,49.090909,1.294080,1.809759,0.950617,-1.000000,1,0.933885,4.128653,30.156000
s6_depth,adaptive,7,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,92,120,22,1221,5,55.757576,1.365760,1.691719,0.880435,-1.000000,1,0.944289,3.531665,30.788000
s6_depth,adaptive,8,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,53,99,66,1270,15,32.317073,0.624640,2.005412,1.188679,-1.000000,1,0.953182,2.970358,30.962000
s6_depth,adaptive,9,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,63,107,38,1264,9,38.650307,0.887040,1.905151,1.079365,-1.000000,1,0.940989,3.545812,29.130000
s6_depth,adaptive,10,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,88,78,15,1362,1,53.333333,1.379840,1.457263,0.659091,-1.000000,1,0.975176,1.588145,31.586000
s6_depth,adaptive,11,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,75,128,38,1172,48,45.454545,1.017600,1.308246,0.600000,-1.000000,1,0.947377,3.162423,29.236000
s6_depth,adaptive,12,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,49,115,44,1210,11,29.696970,0.561920,1.253014,0.632653,-1.000000,1,0.952360,2.945144,30.156000
s6_depth,adaptive,13,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,82,102,66,1308,33,49.696970,1.218560,1.224157,0.475610,-1.000000,1,0.952906,3.076941,31.880000
s6_depth,adaptive,14,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,74,159,27,1333,13,44.848485,1.035520,2.209207,1.324324,-1.000000,1,0.953445,2.904034,30.446000
s6_depth,adaptive,15,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,88,89,32,1289,12,53.658537,1.360640,1.680688,0.863636,-1.000000,1,0.955625,2.726314,30.022000
s6_depth,adaptive,16,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,80,112,47,1308,15,48.484848,1.177600,1.739709,0.962500,-1.000000,1,0.962392,2.338143,30.490000
s6_depth,adaptive,17,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,84,113,26,1287,6,51.533742,1.336320,2.212770,1.357143,-1.000000,1,0.945580,3.334508,29.780000
s6_depth,adaptive,18,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,86,112,7,1292,0,52.121212,1.204480,1.923961,1.104651,-1.000000,1,0.951427,3.014690,30.260000
s6_depth,adaptive,19,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,82,178,9,1195,4,49.696970,1.103360,1.829668,1.000000,-1.000000,1,0.936288,4.056842,30.790000
s6_depth,vbf,1,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,19,78,0,574,0,11.585366,0.411920,3.578861,1.000000,-1.000000,1,0.748115,7.998788,13.590000
s6_depth,adaptive,20,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,119,110,47,1273,16,72.560976,1.957120,1.383786,0.596639,-1.000000,1,0.950150,3.077835,30.082000
s6_depth,vbf,2,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,20,79,0,708,0,12.195122,0.433600,4.719991,1.000000,-1.000000,1,0.907665,3.142267,16.192000
s6_depth,vbf,3,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,17,84,0,561,0,10.303030,0.368560,4.276093,1.000000,-1.000000,1,0.751623,7.418287,12.816000
s6_depth,vbf,5,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,16,85,0,635,0,9.696970,0.346880,3.591354,1.000000,-1.000000,1,0.781991,7.081319,14.254000
s6_depth,vbf,4,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,19,76,0,616,0,11.656442,0.411920,4.051865,1.000000,-1.000000,1,0.739334,8.427078,13.742000
s6_depth,vbf,6,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,18,96,0,573,0,10.909091,0.390240,4.951978,1.000000,-1.000000,1,0.766999,6.909474,12.872000
s6_depth,vbf,7,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,23,75,0,560,0,13.939394,0.498640,4.598157,1.000000,-1.000000,1,0.745900,7.803270,13.120000
s6_depth,vbf,8,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,19,38,0,622,0,11.585366,0.411920,5.495051,1.000000,-1.000000,1,0.777783,7.100756,13.980000
s6_depth,vbf,9,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,18,66,0,576,0,11.042945,0.390240,4.237340,1.000000,-1.000000,1,0.728919,8.394694,13.056000
s6_depth,vbf,11,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,18,63,0,503,0,10.909091,0.390240,3.735046,1.000000,-1.000000,1,0.680936,9.149137,11.616000
s6_depth,vbf,10,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,20,87,0,737,0,12.121212,0.433600,3.423365,1.000000,-1.000000,1,0.895578,3.470445,15.702000
s6_depth,vbf,12,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,16,43,0,532,0,9.696970,0.346880,5.213666,1.000000,-1.000000,1,0.705220,8.909707,12.500000
s6_depth,vbf,14,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,17,73,0,624,0,10.303030,0.368560,6.206717,1.000000,-1.000000,1,0.784134,6.735738,13.714000
s6_depth,vbf,13,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,17,64,0,680,0,10.303030,0.368560,2.941408,1.000000,-1.000000,1,0.855308,4.704156,14.988000
s6_depth,vbf,15,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,20,79,0,594,0,12.195122,0.433600,4.031021,1.000000,-1.000000,1,0.738973,7.930053,12.910000
s6_depth,vbf,16,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,19,89,0,638,0,11.515152,0.411920,4.089190,1.000000,-1.000000,1,0.806798,6.113614,14.130000
s6_depth,vbf,17,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,20,91,0,599,0,12.269939,0.433600,4.779011,1.000000,-1.000000,1,0.777789,6.748052,13.286000
s6_depth,vbf,18,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,29,67,0,650,0,17.575758,0.628720,4.564057,1.000000,-1.000000,1,0.778558,7.069012,13.974000
s6_depth,vbf,20,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,18,95,0,597,0,10.975610,0.390240,3.372012,1.000000,-1.000000,1,0.801162,6.010690,13.446000
s6_depth,vbf,19,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,23,75,0,505,0,13.939394,0.498640,5.027703,1.000000,-1.000000,1,0.661334,10.122353,11.898000
s6_depth,hhvbf,1,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,19,80,0,642,0,11.585366,0.411920,4.131893,1.000000,-1.000000,1,0.794241,6.731572,14.482000
s6_depth,hhvbf,3,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,165,19,75,0,633,0,11.515152,0.411920,4.022574,1.000000,-1.000000,1,0.773799,7.267682,14.016000
s6_depth,hhvbf,2,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,164,21,82,0,810,0,12.804878,0.455280,4.071735,1.000000,-1.000000,1,0.921266,2.851128,17.364000
s6_depth,hhvbf,4,50,5,500.000000,100.000000,3.000000,150.000000,120.000000,6.000000,512,10000.000000,200.000000,163,18,77,0,637,0,11.042945,0.390240,4.756530,1.000000,-1.000000,1,0.795689,6.616556,14.350000
